recipe_id,ingredients
41,"['haddock', 'cream', 'beans', 'hing', 'leaves']"
42,"['jam', 'spray', 'paste']"
43,"['apricot', 'margarine', 'extract', 'vanilla', 'lavender']"
44,"['mix', 'noodles', 'sugar']"
45,"['yogurt', 'tomatoes', 'spinach', 'horseradish', 'seed', 'flour', 'mango']"
46,"['ground', 'egg', 'paprika', 'pod', 'wine', 'peanuts']"
47,"['rice', 'toast']"
48,"['pepper', 'yeast', 'shrimp', 'pineapples', 'cucumber']"
49,"['raisins', 'nuts', 'paprika', 'yogurt', 'sodium', 'slices']"
50,"['gelatin', 'peas', 'vinegar']"
51,"['oil', 'chile', 'nuts', 'syrup', 'jicama', 'flour', 'leaves']"
52,"['paste', 'sauce', 'ice']"
53,"['pineapple', 'breadcrumbs', 'msg', 'cubes', 'water', 'geniuskitchen', 'pot', 'potatoes', 'www']"
54,"['soup', 'hazelnuts', 'cheese', 'butter']"
55,"['oil', 'cashews', 'pepper', 'olives', 'butter', 'asparagus']"
56,"['seed', 'cherries', 'meat', 'water', 'cutlets', 'mix', 'beans', 'shells']"
57,"['sauce', 'cocoa', 'tbsp', 'jicama']"
58,"['vinegar', 'leaves', 'noodles', 'chiles', 'milk', 'olives']"
59,"['frying', 'oil', 'danish', 'vinegar', 'cognac']"
60,"['spray', 'sugar', 'gallo', 'cubes', 'matchstick', 'cheese']"
61,"['onion', 'sugar', 'pepper', 'gelatin', 'cabbage', 'tenderloin', 'slices']"
62,"['quarters', 'cheese', 'paprika', 'purpose']"
63,"['oil', 'jar']"
64,"['sauce', 'leaves', 'sherry', 'chilies', 'kikkoman']"
65,"['parsley', 'chickpeas', 'vinegar', 'egg', 'tuna', 'sauce', 'cheese']"
66,"['vinegar', 'skirt', 'garni']"
67,"['juice', 'leaves', 'champagne']"
68,"['peppers', 'allspice', 'vinegar']"
69,"['slice', 'milk', 'water']"
70,"['seeds', 'pods', 'soup', 'kiwi', 'lentils', 'liqueur']"
71,"['juice', 'seed', 'thyme', 'paste', 'mix', 'parts', 'sheets']"
72,"['bananas', 'nutmeg', 'stock', 'roni']"
73,"['currants', 'turmeric', 'pasta', 'sauce']"
74,"['grapes', 'apples', 'sausage']"
75,"['cut', 'honey', 'yeast', 'marjoram', 'links']"
76,"['bacon', 'wine', 'rounds', 'stock', 'halves', 'mayonnaise', 'concentrate']"
77,"['pepperoni', 'chocolate', 'sec', 'apple']"
78,"['oil', 'cocoa', 'cornmeal', 'juice']"
79,"['salt', 'quarters', 'buns', 'jam', 'thickness', 'catsup', 'yolk']"
80,"['cayenne', 'half']"
81,"['water', 'leaf', 'drumsticks', 'blueberry', 'basmati', 'fridge', 'oil', 'leaves']"
82,"['mix', 'beans', 'onions', 'loin', 'pasta', 'cans', 'cubes']"
83,"['pasta', 'quinoa', 'scallops', 'sauce', 'paprika', 'leeks', 'cumin']"
84,"['hazelnuts', 'onions', 'gingerroot', 'peppers']"
85,"['sugar', 'tomatoes', 'scallion']"
86,"['cocoa', 'pods', 'masala', 'vodka', 'shrimp', 'oil', 'peppers']"
87,"['flour', 'seed', 'cream', 'bean']"
88,"['onions', 'juice', 'noodles']"
89,"['cabbage', 'leaves', 'avocados', 'asafoetida', 'slices']"
90,"['basil', 'beans', 'ketchop', 'pastry', 'noodles', 'sauce']"
91,"['cheese', 'thread', 'yoghurt', 'rib']"
92,"['sugar', 'stout', 'salsa', 'chilies', 'shoots', 'tortillas']"
93,"['oil', 'pepper', 'halves', 'tempeh', 'stock', 'flour', 'yeast']"
94,"['cheese', 'masala', 'paste', 'tuna', 'oil']"
95,"['salt', 'manicotti', 'turmeric', 'lbs', 'cabbage', 'flour', 'sugar', 'cheese']"
96,"['rind', 'squash', 'seeds', 'g', 'bay', 'penne', 'chilies', 'cheese']"
97,"['almonds', 'sauce', 'marmalade', 'flour', 'pepper']"
98,"['loin', 'beans', 'peppercorns', 'yeast']"
99,"['masala', 'preference', 'ground', 'flour']"
100,"['chops', 'boneless', 'courgette']"
101,"['seasoning', 'macaroni', 'olives']"
102,"['asparagus', 'chili']"
103,"['cayenne', 'paprika', 'wine', 'beans']"
104,"['cream', 'cans']"
105,"['sauce', 'leaf', 'inches', 'mustard', 'wine', 'tamari']"
106,"['dredging', 'oz']"
107,"['cheese', 'meatballs', 'pepper', 'sugar', 'chili', 'seed']"
108,"['beef', 'thigh', 'slices']"
109,"['flavor', 'potatoes', 'cinnamon', 'cheese', 'pepper']"
110,"['bread', 'rocket', 'grape', 'mustard', 'mix']"
111,"['cumin', 'oil', 'hearts', 'grapefruit', 'skinned', 'flour', 'ground', 'carrots']"
112,"['molasses', 'cheese', 'minutes', 'leaves', 'wine', 'cocoa']"
113,"['salt', 'tomato', 'tomatoes', 'rum', 'tapatio']"
114,"['fillet', 'peppers', 'leaves', 'veal', 'shoot', 'tartar', 'lentil']"
115,"['potatoes', 'peas', 'ginger', 'beans', 'pepper', 'scallion', 'cheese']"
116,"['parsley', 'potatoes', 'chips', 'sprig']"
117,"['wine', 'apple', 'sauce']"
118,"['seeds', 'cube', 'mustard', 'parsley', 'vegetable', 'pepper', 'chutney']"
119,"['beans', 'tomatoes']"
120,"['shrimp', 'pork']"
121,"['sugar', 'paste']"
122,"['seed', 'sauce', 'chile', 'pepper', 'slices', 'flour', 'oil', 'water']"
123,"['nutmeg', 'chicken', 'potatoes', 'cocoa', 'cheese', 'fat']"
124,"['oil', 'breadcrumbs', 'shallot', 'salt', 'pasta', 'liqueur']"
125,"['content', 'vinegar', 'crackers', 'cream', 'olives']"
126,"['pecans', 'mustard', 'concentrate', 'chili']"
127,"['sausages', 'spray']"
128,"['chiles', 'tarragon', 'parsley', 'potatoes', 'ham', 'sauce']"
129,"['lettuce', 'cream', 'bread', 'honey', 'potatoes', 'paste', 'chili']"
130,"['pastry', 'island', 'prunes', 'vegetables']"
131,"['peppers', 'seed', 'juice', 'oil', 'slices', 'mirin', 'fillet', 'syrup']"
132,"['rice', 'casings', 'sauce', 'mushrooms', 'milk']"
133,"['oil', 'allspice', 'onions', 'pods']"
134,"['leaves', 'mix', 'fat', 'neufchatel']"
135,"['carrot', 'milk', 'soymilk', 'halves', 'sprouts', 'tenders', 'mace', 'noodles']"
136,"['pimientos', 'fillets']"
137,"['seeds', 'lime', 'juice', 'veal', 'vinegar', 'onion']"
138,"['crumbs', 'ribs', 'cheese', 'sauce']"
139,"['turmeric', 'pesto', 'oil', 'mix', 'coconut', 'beans', 'oz']"
140,"['chocolate', 'onions']"
141,"['oil', 'pesto', 'chicken']"
142,"['pasta', 'cubes', 'spray', 'pepper', 'peppers', 'cheese', 'coffee']"
143,"['granules', 'marnier']"
144,"['strips', 'paste', 'cheese']"
145,"['seasoning', 'chiles']"
146,"['cocktail', 'soda', 'milk', 'stems']"
147,['oil']
148,"['chives', 'rice', 'water', 'sauce', 'milk']"
149,"['juice', 'curry', 'dijon', 'cucumber', 'milk', 'parts', 'chicken', 'brand']"
150,"['salsa', 'onions', 'cheese', 'coriander', 'leaves']"
151,"['broth', 'flour', 'butter']"
152,"['rice', 'beans', 'peppers', 'cloves', 'beef']"
153,"['layer', 'chives', 'banana', 'cream', 'grain', 'parsley', 'bean', 'seeds']"
154,"['steaks', 'cabbage', 'sauce', 'apple', 'peas', 'bean', 'parsnip']"
155,"['skirt', 'wine', 'flakes', 'dough', 'turmeric', 'oil', 'spice', 'moons']"
156,"['mushrooms', 'leaves', 'chile', 'shallots', 'sugar']"
157,"['yogurt', 'liqueur']"
158,"['flour', 'walnuts', 'cilantro', 'curry']"
159,"['vinegar', 'cheese', 'scallion', 'beans', 'peel', 'mushroom', 'salt']"
160,"['peas', 'tuna', 'potatoes']"
161,"['liver', 'rings', 'pepper', 'flour', 'banana', 'chile', 'leaves']"
162,"['cinnamon', 'sugar', 'livers', 'vanilla', 'apples', 'mince']"
163,"['seeds', 'cilantro', 'chives', 'cooking', 'olives', 'epazote']"
164,"['chickens', 'sauce', 'marnier', 'flour', 'cheese', 'kelp']"
165,"['cheese', 'cream', 'blend']"
166,"['chiles', 'turmeric', 'stock', 'crust', 'ounce']"
167,"['cheese', 'florets', 'seed', 'coffee', 'mushrooms', 'sherry', 'basil', 'potatoes']"
168,"['wheat', 'lettuce']"
169,"['potatoes', 'linguine', 'sauce', 'chestnuts']"
170,"['vermicelli', 'pepper', 'beans', 'vinegar', 'substitute', 'extract', 'slices']"
171,"['leaves', 'triangles', 'cheese', 'thread', 'g', 'mushrooms']"
172,"['beef', 'potato', 'apple', 'peas', 'chickpeas', 'seeds', 'slice', 'leaves']"
173,"['beef', 'stock', 'mustard']"
174,"['squash', 'tortillas', 'soup', 'cinnamon']"
175,"['turmeric', 'breadcrumbs', 'choice', 'calamari', 'water']"
176,"['extract', 'coriander']"
177,"['guacamole', 'romaine', 'flank', 'mustard']"
178,"['potatoes', 'pasta', 'seeds', 'carrot', 'tahini']"
179,"['stock', 'fennel']"
180,"['food', 'mango', 'sauce', 'guacamole', 'pepper', 'juice', 'florets']"
181,['size']
182,"['oil', 'capers', 'seeds', 'tortellini']"
183,"['tops', 'chile', 'mace', 'oil', 'chunks', 'peel']"
184,"['rabe', 'cubes', 'mint', 'broth', 'onions']"
185,"['cream', 'canned', 'mussels']"
186,"['anise', 'ouzo', 'florets', 'mushrooms', 'onion']"
187,"['mushrooms', 'wine', 'guacamole', 'segments', 'macaroni']"
188,"['soup', 'sauce', 'pasta', 'cheese']"
189,"['onion', 'sauce']"
190,"['dente', 'mix', 'pound', 'water', 'sugar', 'potatoes']"
191,"['spice', 'raspberries', 'chocolate', 'peel', 'vermouth', 'paste', 'beans']"
192,"['seed', 'cream', 'berries', 'raisins', 'sauce', 'cheese', 'noodles']"
193,"['bacon', 'yogurt', 'brisket']"
194,"['flour', 'adobo', 'peel', 'sugar']"
195,"['chutney', 'liquid', 'cubes', 'vinegar', 'escarole']"
196,"['flour', 'butter', 'mushrooms', 'granules', 'vegetables', 'pataks']"
197,"['salt', 'medium', 'watercress', 'broth', 'beans', 'lettuce', 'bananas', 'turnip', 'water']"
198,"['flakes', 'pepper', 'note', 'seed', 'half', 'thinning']"
199,"['breasts', 'sausage', 'sauce']"
200,"['tails', 'parsley', 'guacamole', 'ale', 'onion', 'paste']"
201,"['cayenne', 'bread', 'juice', 'chips']"
202,"['pistachio', 'tortillas', 'peppers', 'spray', 'juice', 'lentils', 'leaves']"
203,"['kalamata', 'peppers', 'oil', 'onion', 'crosswise']"
204,"['tortillas', 'vodka', 'syrup', 'shoulder', 'coffee']"
205,"['yogurt', 'parsley', 'juice', 'curds', 'seeds', 'lindi']"
206,"['broth', 'herbs', 'wine', 'directions', 'crackers', 'paprika', 'tenderloin', 'pepper']"
207,"['water', 'lengthwise', 'dill', 'tenderloin', 'carrots', 'mix', 'egg']"
208,"['crumbs', 'salt', 'vinegar', 'mint']"
209,"['quinoa', 'anise', 'sausage', 'lettuce']"
210,['pepper']
211,"['cauliflower', 'cream', 'cocoa', 'juice', 'sugar', 'zest', 'potatoes', 'sheets']"
212,"['cheese', 'beans', 'juice', 'zucchini', 'lemon']"
213,"['sultana', 'rutabagas']"
214,"['sauce', 'slices', 'broth', 'shoulder', 'vinegar']"
215,"['buns', 'bouillon', 'cut', 'oil', 'juice', 'leaf', 'cream']"
216,"['oil', 'wine', 'tomatoes', 'msg', 'tortillas', 'onion']"
217,"['parsley', 'gherkins']"
218,"['curry', 'chiles']"
219,"['syrup', 'tartar', 'paste']"
220,"['cubes', 'cans', 'pounds', 'juice', 'cream', 'cabbage']"
221,"['parts', 'leaves', 'avocado', 'cherries', 'chocolate', 'dough', 'almonds']"
222,"['pecans', 'steak', 'walnuts', 'juice', 'slices', 'eighths', 'cherries']"
223,"['prosciutto', 'flour', 'cheese']"
224,"['rind', 'wine', 'vanilla', 'sprig']"
225,"['flour', 'syrup', 'hamburger', 'stock', 'sauce', 'beef', 'spinach']"
226,"['nuts', 'cheese', 'seeds', 'size', 'cocoa', 'paste', 'chili']"
227,"['water', 'cherries', 'rice', 'blueberries', 'meatballs', 'skim']"
228,"['rutabagas', 'macaroni', 'apple', 'potato', 'yogurt', 'pepper']"
229,"['peas', 'ounces', 'yeast']"
230,"['butter', 'flour', 'shortening', 'paprika', 'lengthways', 'pepper', 'dill', 'pineapple']"
231,"['tenderloin', 'hearts']"
232,"['dal', 'sherry', 'paste', 'crust']"
233,"['peppercorns', 'halves', 'fat', 'pepper', 'lard', 'garlic']"
234,"['cheese', 'intervals', 'almonds', 'raisins', 'extract', 'sauce', 'stems']"
235,"['paste', 'paprika', 'rice']"
236,"['pistachios', 'work', 'coriander']"
237,"['potatoes', 'mix', 'ramen', 'pudding', 'vinegar', 'spray', 'arugula']"
238,"['chocolate', 'vanilla', 'yolks', 'pesto', 'sugar', 'milk', 'shoot']"
239,"['vinegar', 'beef', 'cheese', 'sauce', 'notes']"
240,"['mushroom', 'mushrooms', 'verbena', 'choy', 'peel', 'yogurt', 'rind', 'pod', 'berries']"
241,"['beans', 'cashews', 'spray', 'mix']"
242,"['whiskey', 'slivers', 'sauce']"
243,"['seed', 'cheese', 'beans', 'greens', 'yolk']"
244,"['cubes', 'wine', 'salad', 'tomatoes', 'shrimp', 'peas']"
245,"['sultana', 'mustard', 'egg', 'ketchup']"
246,"['chile', 'vinegar', 'flakes', 'cube', 'bacon']"
247,"['capsicum', 'wedge', 'beef', 'oil', 'macaroni']"
248,"['chilies', 'sugar', 'chips', 'cheese']"
249,"['apples', 'flour']"
250,"['apricots', 'vinegar', 'corn', 'shoots', 'sauce']"
251,"['onions', 'dal', 'peppers']"
252,"['seeds', 'sprig', 'halves', 'sprigs']"
253,"['directions', 'liquid', 'mix', 'choice', 'chili', 'oil', 'mushrooms', 'cooking', 'bread']"
254,['leaves']
255,"['rings', 'peppers', 'cubes', 'lettuce', 'seeds', 'ham']"
256,"['haorseradish', 'almonds', 'beer', 'hamburger', 'lettuce']"
257,"['eggs', 'sprigs', 'mushrooms', 'dough', 'flour', 'chocolate', 'peppers', 'sprig']"
258,"['cocoa', 'pepper', 'pasta', 'salt', 'style']"
259,"['carrots', 'fillets', 'yogurt', 'chocolate', 'veal', 'sauerkraut', 'ml']"
260,"['pepper', 'crusts', 'flour', 'peppercorn', 'oil', 'sprigs', 'chilies']"
261,"['enchiladas', 'mrs', 'seasoning']"
262,"['cream', 'whip', 'turmeric', 'sauce', 'sprouts', 'pepper', 'cayenne']"
263,"['mushroom', 'leaf', 'zucchini', 'extract', 'sauce', 'masala']"
264,"['mandarin', 'salt', 'bacon', 'box', 'seasoning', 'cheese', 'cut', 'water']"
265,"['beer', 'beans', 'meat', 'leeks', 'flour', 'cherries']"
266,"['parts', 'crust', 'bun', 'flour']"
267,"['squash', 'cream', 'oil']"
268,"['nuts', 'tomatoes', 'greek', 'dill', 'sauce', 'cheese']"
269,"['raisins', 'vinegar', 'spice']"
270,"['cob', 'seeds', 'tomatoes', 'juice']"
271,"['schnapps', 'substitute', 'meat']"
272,"['garlic', 'leaves', 'sauerkraut', 'rice', 'sugar', 'sauce', 'water']"
273,"['turmeric', 'oil', 'seeds', 'yeast', 'onion', 'seed']"
274,"['bag', 'pears', 'krispies', 'sec']"
275,"['vinegar', 'honey', 'wedges', 'cream', 'portions', 'hamburger', 'cumin', 'pepper']"
276,"['watermelon', 'olives', 'seeds', 'salmon', 'water', 'paste']"
277,"['sake', 'noodles', 'olives', 'cocktail']"
278,"['potatoes', 'ranch', 'oil', 'mace', 'vinegar']"
279,"['shells', 'seasoning']"
280,"['flour', 'mint', 'crumbs', 'chilies', 'chips', 'sausage', 'sugar']"
281,"['sugar', 'peppercorns', 'chiles', 'skewer', 'sage', 'noodles']"
282,"['tsp', 'savory', 'rutabagas']"
283,"['wine', 'veal', 'beans', 'marjoram']"
284,"['spinach', 'arrowroot', 'pecans', 'peppers']"
285,"['flakes', 'leaves', 'cornmeal', 'beans', 'cayenne', 'yeast', 'chili']"
286,"['strawberries', 'basil', 'leaves', 'sugar', 'molasses', 'garlic', 'sausage']"
287,"['florets', 'oats', 'potatoes', 'lengths', 'spinach', 'paste', 'crumbs', 'cream']"
288,"['almonds', 'broth', 'wine', 'pepper']"
289,"['tenderloin', 'apples', 'lentils', 'shallot', 'oil', 'gorgonzola']"
290,"['sherry', 'oil', 'temperature', 'bouillon', 'bread', 'capers', 'salad']"
291,"['carrots', 'tartar', 'parsley', 'chips', 'potatoes', 'piccalato']"
292,"['shrimp', 'mirin', 'flour', 'butter', 'sprouts', 'pepper']"
293,"['yogurt', 'pasta', 'scallops']"
294,"['vodka', 'lengthwise', 'sauce', 'honey', 'egg', 'pastry', 'cheese']"
295,"['broth', 'mushroom', 'breadcrumbs', 'mushrooms', 'squash', 'potato']"
296,"['juice', 'leaf', 'broth', 'crumbs']"
297,"['paprika', 'lettuce', 'mussels', 'oil', 'sauce']"
298,"['sugar', 'oil', 'tenderloin', 'papayas', 'meat', 'crabmeat', 'crumbs', 'wings']"
299,"['vinegar', 'ginger', 'kilogram', 'rolls', 'turnips']"
300,"['stock', 'tomatoes', 'essence', 'cubes', 'butter']"
301,"['leaves', 'eggs', 'blend']"
302,"['halves', 'cilantro', 'butter', 'garlic']"
303,"['pimientos', 'stock', 'vinegar', 'cucumber']"
304,"['cabbage', 'turmeric', 'ground', 'oil']"
305,"['carrot', 'yogurt', 'lemonade', 'chili', 'dill', 'cacao']"
306,"['pod', 'peel', 'oregano', 'sauce', 'pepper']"
307,"['cream', 'lengthways', 'beans']"
308,"['sauce', 'cream', 'gingerroot', 'tarragon']"
309,"['spray', 'hamburger']"
310,"['temp', 'spice', 'pepper', 'sauce', 'cubes', 'cider', 'apple']"
311,"['wine', 'cheese', 'parts', 'juice', 'penne', 'flakes']"
312,['spinach']
313,"['vinegar', 'tomatoes', 'pepper', 'half']"
314,"['salsa', 'tomatoes', 'meat']"
315,"['beans', 'brands', 'ghee', 'farmers']"
316,"['rind', 'vinegar', 'preserves', 'strips', 'quinoa']"
317,"['blueberries', 'juice', 'coriander', 'corn', 'peels', 'half']"
318,"['sprig', 'salt', 'oil']"
319,"['potatoes', 'tomatoes', 'coffee', 'tops']"
320,"['dates', 'jam', 'cube', 'juice', 'greens']"
321,"['crust', 'leaves', 'cheese', 'jerk', 'puree', 'oil', 'lengthwise', 'loaf']"
322,"['spinach', 'substitute', 'peppers', 'sodium', 'pepper', 'beans', 'gravy']"
323,"['season', 'leaves', 'brandy', 'tsp', 'cheese', 'joe']"
324,"['ketchup', 'half', 'beans', 'salsa']"
325,"['chilies', 'chili', 'tenderloin', 'sugar', 'g', 'flour']"
326,"['cilantro', 'mix', 'basil', 'pumpkin', 'cubes']"
327,"['seed', 'beans', 'broth', 'sprout', 'chestnuts', 'mint', 'strips']"
328,"['juice', 'soup', 'rice', 'broth']"
329,"['pepper', 'strand', 'granules']"
330,"['grain', 'tamari', 'juice', 'spray', 'sugar']"
331,"['ranch', 'sauce', 'seaweed', 'syrup']"
332,"['steak', 'seasoning', 'salsa', 'mushrooms', 'cheese', 'sheets']"
333,"['curacao', 'thigh', 'coriander', 'coloring', 'prawns', 'st', 'strips', 'tips']"
334,"['whisky', 'yogurt', 'sauce', 'hamburgers']"
335,"['mix', 'pepperoni', 'sage']"
336,"['boneless', 'mushroom', 'yoghurt', 'butter', 'mirin', 'sausage', 'chips']"
337,"['soymilk', 'bananas', 'chunks', 'tomatoes', 'sausage', 'sugar']"
338,"['sugar', 'cubes']"
339,"['salt', 'breadcrumbs', 'mushrooms']"
340,"['mushrooms', 'cheese', 'onions']"
341,"['pecans', 'pimientos']"
342,"['guinness', 'crust', 'flour', 'sauce', 'prawns']"
343,"['half', 'peppers', 'oil']"
344,"['salt', 'nuts', 'thighs', 'chips', 'broth', 'crumbs', 'pepper']"
345,"['onion', 'cauliflower', 'pasta', 'squash', 'flour', 'milk']"
346,"['cheese', 'sauce']"
347,"['chocolate', 'flavor']"
348,"['potatoes', 'sauce', 'pistachios', 'nutmeg']"
349,"['choy', 'chops']"
350,"['tomatoes', 'marjoram']"
351,"['leaf', 'level', 'piblets']"
352,"['paste', 'pork', 'radish', 'oil', 'catsup', 'juice', 'lemon']"
353,"['tomatoes', 'zest', 'chile']"
354,"['mix', 'bacon', 'spinach', 'marmalade', 'prosciutto']"
355,"['fat', 'noodles', 'oats', 'sauce', 'cheese', 'cayenne']"
356,"['soymilk', 'beans', 'sauerkraut', 'saffron', 'baby', 'wine', 'leaves']"
357,"['chili', 'cheese']"
358,"['verde', 'peaches', 'flour', 'salt', 'parsley', 'guacamole', 'sourdough', 'berries']"
359,"['flour', 'pineapple']"
360,"['ground', 'onion', 'vinegar', 'sauce', 'halves']"
361,"['peppercorns', 'beans', 'pepper']"
362,"['honey', 'mint', 'eggs']"
363,"['shallots', 'lemonade', 'soup', 'spaghetti', 'pears', 'garlic']"
364,"['stem', 'water', 'vanilla', 'oil', 'flakes']"
365,"['paste', 'mix', 'leaves', 'cube', 'pasta']"
366,"['cocktail', 'pepper', 'onion', 'eggs', 'flavoring']"
367,"['ginger', 'vermouth', 'pound', 'breadcrumbs', 'tsp']"
368,"['sugar', 'dipping', 'kernels', 'cheese']"
369,"['freshtarragon', 'meatballs', 'carrots', 'choy']"
370,"['mace', 'juice', 'shortening', 'molasses', 'seed', 'cumin', 'ginger', 'tomatoes', 'oz']"
371,"['milk', 'cheese', 'champagne', 'cube', 'lettuce']"
372,"['rind', 'oil', 'sugar', 'ricksha', 'hair', 'beer', 'vodka']"
373,"['vinegar', 'mix']"
374,"['seed', 'soup', 'vinegar', 'peach', 'oil']"
375,"['sec', 'rice', 'sauce', 'peppercorns', 'steaks']"
376,"['onions', 'seasoning', 'vinegar']"
377,"['allspice', 'cream', 'vinegar']"
378,"['oil', 'chops', 'flour', 'yogurt', 'tamari', 'currants', 'ketchup']"
379,"['vinegar', 'cream', 'sec', 'cheese', 'catsup', 'head']"
380,"['nuts', 'cocoa', 'size', 'chilies', 'shallot', 'salt']"
381,"['cubes', 'grape', 'adobo']"
382,"['flavor', 'peppers', 'leaf', 'nutmeg', 'tenderloin', 'halves']"
383,"['corn', 'lemons', 'lemon', 'rhubarb', 'cubes', 'cornmeal']"
384,"['seasoning', 'chives', 'horseradish', 'cheese', 'onion']"
385,['milk']
386,"['sauce', 'noodles', 'spray', 'paste', 'oil']"
387,"['brandy', 'chile', 'oil', 'pepper', 'wine', 'portions', 'sharwood']"
388,"['olive', 'berries', 'marsala', 'leaves', 'cutlets', 'salt', 'wine', 'onions']"
389,"['oz', 'tartar', 'chilies', 'yogurt', 'cornmeal', 'spinach', 'peanuts', 'cilantro']"
390,"['mushrooms', 'rice']"
391,"['rum', 'beans', 'coloring', 'meat', 'cornstarch', 'olives']"
392,"['lettuce', 'paste', 'juice', 'soda', 'cream']"
393,"['lettuce', 'celery']"
394,"['links', 'crackers', 'cream', 'spread']"
395,"['pasta', 'dill', 'paste']"
396,"['pepper', 'note', 'variety', 'sprigs']"
397,"['tofu', 'seed', 'flour', 'onions', 'juice', 'chestnut']"
398,"['paste', 'mushrooms', 'microplane', 'yoghurt', 'oil', 'almond']"
399,"['water', 'chilies', 'pistachios', 'harissa', 'beans', 'coffee']"
400,"['brisket', 'beans', 'tomato', 'apricot', 'pasta', 'dill', 'tarragon']"
401,"['gingerroot', 'salami', 'onion', 'cream', 'chutney', 'gravy', 'crabmeat']"
402,"['potatoes', 'peppers', 'cider']"
403,"['chop', 'seasoning']"
404,"['beans', 'brand', 'cheese', 'nuts', 'pepper', 'mix']"
405,"['thirds', 'lengthwise', 'ammonia', 'liqueur']"
406,"['cream', 'hominy', 'salt', 'mint', 'cinnamon', 'leaves']"
407,"['pepper', 'mushroom', 'ketchup', 'sodium', 'lentils', 'mushrooms', 'barley']"
408,"['rum', 'confectionerssugar', 'juice', 'chickens', 'carrots']"
409,"['jicama', 'oil', 'prunes', 'guacamole', 'kale', 'celery']"
410,"['mushrooms', 'pepper', 'bones', 'tomatoes', 'juice', 'cherry']"
411,"['peppers', 'yogurt', 'veal', 'seed', 'seeds', 'brussels']"
412,"['vinegar', 'coriander', 'cumin', 'curry', 'vermouth', 'molasses', 'cranberries']"
413,"['yogurt', 'fillets']"
414,"['cream', 'coriander', 'sugar', 'quinoa', 'milk', 'rib']"
415,"['pepper', 'soup', 'leaves', 'cheese', 'mix', 'slices', 'cream']"
416,"['mix', 'carrots', 'pecans', 'blend', 'vinegar']"
417,"['sauce', 'pla']"
418,"['mix', 'cheese', 'cream', 'fillets', 'arugula', 'yeast', 'liqueur']"
419,"['essence', 'cucumbers', 'choice', 'raspberries']"
420,"['coconut', 'pepper', 'leaves', 'chard']"
421,"['peppers', 'paste', 'cheese']"
422,"['salt', 'arugula', 'seeds', 'sauce', 'seed', 'tomatoes']"
423,"['flakes', 'flour', 'breast', 'cornstarch', 'strips', 'chili']"
424,"['honey', 'nutmeg', 'stock', 'florets', 'substitute', 'bay']"
425,"['syrup', 'suet', 'pears', 'kernels', 'bacon']"
426,"['wedges', 'yogurt', 'eighths', 'asparagus', 'beans', 'spinach']"
427,"['peppers', 'spinach', 'sauce', 'liquid', 'lettuce', 'cube', 'jam', 'noodles']"
428,"['half', 'vinegar', 'coffee', 'sauce']"
