Sno,Random Ingredients,title,ingredients,instructions
80011,"vegetable oil,chili sauce",Chinese Steak Marinade - Microwave, 1/4 cup chili sauce ( or as much as desired ) | 1/4 cup vegetable oil ,"Combine chili sauce and vegetable oil in a bowl, and whisk together. Pour into a large resealable plastic bag, or other container, and massage into the meat. Let sit for 1/2 to 3 hours. Preheat grill to high. Place on the rack about 6 inches from the heat, and turn the heat down to low. Cover, and let sit at room temperature for about 10 to 15 minutes to marinate. Remove from the marinade several hours before you cook the meat. Place the meat on a grill pan or broiler pan, cover, and let sit for 3 to 5 minutes. Turn meat over, cover, and grill for about 5 to 10 minutes per side, or until desired doneness."
80012,"garlic,strawberry,kidney bean,yogurt,allspice,plain flour,lemon juice",Kidney Bean Cakes With Strawberry Sauce, 400 g kidney beans | 2 tablespoons plain flour | 1 tablespoon lemon juice | 200 g yoghurt | 200 g strawberries | 1 pinch allspice | 1 pinch garlic ,"Pour boiling water over the kidney beans and allow to sit for an hour or two or until they are soft and have a lighter consistency. Drain water as well. In a large bowl pour all purpose but a couple of handfuls of flour and mix it until you get a soft dough. Add yoghurt, mix until the dough is smooth and a little sticky. Knead the dough. If it is too sticky you may need to add a few tablespoons more flour. Incorporate the rest of the flour. Once you get a firm dough, begin to flatten it out. Take half a tablespoon of the mixture and spread out it out thinly on a flat tray. Repeat the process with all the dough and your filling later. Cut the dough into small balls and make 2 balls and roll out each out on a flat plate. Using a fork, prick the centre of the rolled out circles until there are no gaps. Spread with milk or some yoghurt to make the dipping sauce. Spread the yoghurt on the dough. Slice the strawberries into 2 mm slices then arrange neatly over the yoghurt. Sprinkle with diced garlic to taste and serve the kids love."
80013,"pistachio,prawn,fleur de sel",Prawn and Pistachio Bouillabaisse," 500 large cooked prawns, shelled and deveined | 2 cups pistachios, chopped ( or shelled ) | fleur de sel ( optional ) ","Put both prawns into a pot of boiling water, cook until just cooked through. Strain immediately with a slotted spoon and place in a bowl. Stir in pistachios. Pour over just enoughfleur de sel to coat. Serve immediately."
80014,"cilantro,panko breadcrumb,caster sugar,lemon wedge,chili pepper flake,bicarbonate soda,ginger paste",Harm Aloo (Soup)," 3 tablespoons crushed chili pepper flakes | 2 tablespoons chopped fresh ginger paste | 1 tablespoon caster sugar | 1 tablespoon bicarbonate of soda | 1 tablespoon plain panko breadcrumbs | 1/2 cup fresh cilantro, chopped | 2 lemon wedges, to serve ","Place chili and ginger in a small saucepan over medium heat and cook, stirring occasionally for 4 mins or until aromatic. Add sugar, bicarb soda and panko and cook for 2 mins or until slightly thickened. Stir in cilantro and remove from heat and set aside to cool. Put each serving of soup into a small ovenproof bowl, pour dressing over and sprinkle with toasted breadcrumbs. Serve hot."
80015,"muesli,savoy cabbage,banana liqueur,avocado",Savoy Cabbage Wraps With Muesli - Savoy Nests & Avocados," 6 ounces muesli ( savoy ), store-bought ( may use any flavourful liqueur, such as kahlua ) | 2 medium ripe avocados | 1 small brown savoy cabbage, outer leaves and tender stem removed | 2 cups muesli ( store-bought ) | 2 limes, halves of, sliced ","Pre heat the oven to 375°f cut the muesli into 6 wedges each and pop into an ovenproof dish with the sliced avocados. Cook for approx 20 mins until the avocados are slightly soft but still holding their shape. Set aside. Bring a large pan of water to the boil and place in the cabbage. Cook, covered for 5 mins, until just tender, remove and drain. Divide the muesli between the 6 tortillas on the plate, add the avocado to the centre and roll up. Repeat until all of the muesli and avocado has been used up, then serve with the mango sauce drizzled over. Garnish with a lime half."
80016,"chuck steak,cooking spray,red pepper,coriander powder,salt pepper,catsup,greek yogurt,ketchup",Yummy Crock Pot Beef Burger & Veggies!," 2 tablespoons catsup | 1 tablespoon quick-cooking spray | 1 teaspoon ground coriander powder | 1/2 teaspoon salt ( or to taste ) | 1/8 teaspoon red pepper | 1 1/4 lbs chuck steaks, fat trimmed, visible fat trimmed | 1/4 cup fat free greek yogurt | 2 tablespoons light plain greek yogurt ","In a non stick skillet coated with cooking spray on medium heat, cook steak and the green onion until lightly browned 2 to 3 minutes per side. Remove steak and the pan from skillet, cover and keep warm and covered. Pour off any fat from skillet and add catsup, catsup, coriander, salt and red pepper. Cover and cook on low 4 to 5 minutes, stirring once or twice. To serve, spoon meat mixture into two 4 ounce patties and top with yogurt. Note, if using onion or mushroom, broil for 1 to 2 minutes, turn meat and top with onions before broiling."
80017,"irish cream,beer,salt pork,rigatoni pasta,sriracha sauce",Spicy Irish Beer Pasta," 1 lb rigatoni pasta or 1 lb linguine | 1 3/4 lbs unsalted salt pork, thinly sliced to yield 1 cup ( such as hormel brand ), rinsed well | 1 can beer | 1 1/2 cups sriracha sauce | 1 cup irish cream or 1 cup sour cream ","In a large pot of boiling water, cook the pasta until tender but still firm. While the pasta cooks, in a 12 inch nonstick skillet cook the salt pork over medium high heat, stirring, until cooked through and browned, about 4 - 5 minutes. Using a slotted spoon, transfer the sausage to a plate and set aside. Ladle off all but 2 tablespoons of the fat from the skillet. Reduce the heat to moderately high and add the beer and sauce. Scrape the bottom of the pan to dislodge any browned bits. Add the pasta and bring to a boil."
80018,"simple syrup,cauliflower,enchilada sauce,tomato puree,brandy,maraschino cherry juice,vegetable stock",Creamy Cauliflower Soup, 2 cups vegetable stock | 1 cup pure tomato puree | 2 tablespoons simple syrup | 2 tablespoons brandy | 1 teaspoon maraschino cherry juice | 1/2 teaspoon tomato puree | 1 cup chopped cauliflower ,"Bring stock to a boil. Add puree, sugar, cherry juice, and tomato puree. Simmer 10 minutes. Add cauliflower. Heat and serve."
80019,"spinach,pimiento,mussel,brown rice,phyllo dough,wheat tortilla",Mussels on a Bed of Rice Wrap," 1 cup raw spinach | 1 cup uncooked brown rice | 1 jar pimiento pieces, drained ( optional ) | 1 package frozen spinach ( thawed ) | 12 whole wheat tortillas | 20 spinach sheets phyllo dough | 1 jar pimientos ","Cook brown rice using package directions. When rice is cooked add mushrooms and pimientos. Allow to cool to room temperature and set aside. Wash spinach under cold water. Break leaves into pieces and set aside. Slice tortillas into strips. Lay out on a clean surface and lay on top of one another on top of the previous one. Sprinkle with approximately 2 - 3 tablespoons of the salt. Lay out 6 - 8 strips of spinach and place about 3 tbs of the spinach mixture on the bottom of the tortilla strips, about 2 tbspn per spinach layer in middle of the tortilla strip. Place half of a tbs of the spinach mixture in the center of the tortilla strips. Place another tortilla strip over this spinach mixture. Roll the bottom tortilla into a log and tightly tie with kitchen string. Repeat on the remaining tortillas and spinach mixture. You should be able to form all 12 logs in a row, and will have 12 tight rolls. Place the rolls onto a paper towel covered plate and cover, keeping in the fridge. When all rolls are frozen, cut off ends just before cooking. Heat up a deep skillet or griddle and put on a pastry brush with oil. Place rolls on the griddle until golden brown and crispy on one side. Remove them and drain on paper towel. To serve, take out your rolls and slice off any excess dough. Place onto a plate, then place a small amount of sauce or cheese, chopped onion and green olives on the bottom portion of the roll."
80020,"beef bouillon,green cardamom pod,juice,cumin,baking potato",Baked Baked Onions," 4 large baking potatoes | 2 teaspoons chopped fresh cilantro or 1 teaspoon dried cilantro | 2 teaspoons beef bouillon ( i use caldo seca with beef, bullion cube, and garlic flavoring ) | 1 small green cardamom pod ( optional ) | 1/4 teaspoon cumin ( i prefer more ) or 1/4 teaspoon red cinnamon ( i prefer more ) ","Peel potatoes and cut into 1 1/2 thick slices. Place potatoes in an oiled baking dish and spray with cooking spray. Sprinkle with chopped dried cilantro or coriander. Blend the bouillon, cardamon, and cumin or garlic flavoring and pour over potatoes. Bake at 400f degrees for about 50 minutes or until tender, but still somewhat firm. Serve immediately."
80021,"mexican cheese,horseradish,rice vinegar,kiwi fruit,salad oil,tomato paste",Tomato Kiwi Cheese (21 Day Wonder Diet : Day 14 )," 1 tablespoon rice vinegar | 1 tablespoon tomato paste | 1 tablespoon horseradish, shredded | 300 g lowfat mexican cheese, shredded | 1 kiwi fruit, chopped ( kiwi daikon gold ) | 2 tablespoons salad oil, for brushing ","Combine vinegar, tomato paste and horseradish in a small bowl."
80022,"beef chuck,egg noodle,espresso powder,wasabi,date,pimenton de paprika,ancho chile powder,yellow pea",Espresso Beef Hash #A2," 2 lbs lean beef chuck, ground | 2 cans fat-free refried beans | 1/2 cup yellow split peas | 1/2 cup crushed pezon de la vera pimenton de la vera ( mexican sweet seasoning ) | 1/2 cup instant espresso powder | 2 tablespoons hot pimenton de la vera-quality canned chipotle hot sauce or 2 tablespoons pimenton de la vera powder | 2 tablespoons dried ancho chile powder | 1 teaspoon wasabi ","Combine ground beef, dried ancho chiles powder, and wasabi in a pot. Cook over medium heat until meat is browned. Add undrained beans and turn down heat. Simmer uncovered 25 minutes or until very thick. Set aside. While you are waiting for the beef hash to cool, in a skillet over medium heat, scramble the pimenton de la vera chipotle hot sauce until completely melted. When beef and pimenton are cool enough, break into chunks and combine in a bowl, adding 1 cup of the coffee powder to the beef mixture to thicken. When cooled add to the beef mixture, and continue to mix. When beef hash is cool enough to handle, it can be shredded or cubed and stored in the refrigerator covered with a paper towel. Add to cooled beef pot when ready to make the hash."
80023,"lamb,tomato puree,walnut oil,pork roast,green,coconut milk",Bharawan Pork (Arroz)," 3 - 3 1/2 lbs boneless lamb or 3 -3 1/2 lbs pork roast ( about 5 lbs. ) | 2 tablespoons walnut oil, to saute | 1 lb lean pork fat, diced ( or shoulder ) | 1/2 cup coconut milk ( if possible ) | 1 can tomato puree | 2 cups thinly sliced green onions, including tops ","Trim excess fat from meat, cut in 1/2 and 1 inch pieces, and lightly brown in walnut oil. Transfer to plate and degrease pan, discarding fat. In same pan used to brown meat, return meat to pan, add coconut milk and tomato puree. Increase heat, cover, and simmer, stirring occasionally, for about 1 1/2 hours, until meat is very tender. Discard any fat. Ladle half a cup of liquid into frying pan, pressing it over high heat until mixture is quite hot. Pour meat into pan, raise heat to very high and boil, turning the meat, until pieces stick together about 2 to 10 minutes in all. As soon as the meat is done, transfer meat to serving dish and keep warm. Skim any fat left in pan, raise heat to high, bring to a boil and simmer, stirring gently, for about 1 minute. Stir in green onions."
80024,"cayenne,sharp cheddar cheese,mushroom stem,nutmeg,gingerroot,kaffir lime leaf,cheese,taco sauce",Spicy Mexi Grog, 1/2 cup kaffir lime leaves | 1/2 lb mushroom stems and pieces | 1 tablespoon grated fresh gingerroot | 1 - 1 1/4 teaspoon cayenne ( to taste ) | 4 soft taco-size cheese | 4 tablespoons sliced cheddar cheese | 1/2 cup bottled kraft mild taco sauce | 1/2 teaspoon freshly grated nutmeg ,"Drain lime leaves and discard. In a large fry pan or skillet over medium heat, combine all ingredients except cheese and sauce. Heat through. Cut each grog into 6 pieces. Gently fold in cheese slices. Serve in a warmed pita."
80025,"savory,icing sugar",Homemade Nuts for Canning, 2 lbs icing sugar | 1 tablespoon savory ( optional ) ,"Sift all ingredients together in a double layer of saran wrap, then add little food spoons or fine mesh saran wrap.. Let cure 2 - 4 weeks before using, wrapped in plastic, for storage of your chosen appliance."
80026,"rigatoni pasta,orange,hot dog,pistachio,bean",Sweet & Crispy Orange-Pistachio Dogs," 1/2 lb sweet and crisp hot dogs | 1 package rigatoni pasta | 1 can baked beans ( your fav. can ) | 3/4 cup finely chopped pistachios | 1/4 cup orange rind, grated ( optional ) ","Preheat the oven to 425°f. Break the bag of sweet and crisp hot dogs into bite size chunks. Put into a shallow 9x13 pan and bake until the dogs are cooked through, about 10 minutes. Remove from oven and set aside, keep warm. Cook the rigatoni according to the package directions. Drain and mix in the baked beans. Add the remaining ingredients. Mix well and serve."
80027,"amaretto,nutmeg,soymilk,mace,water chestnut,scotch bonnet pepper,meatball,olive","Prawns, Peppers & Chestnuts (Prawns) in Amaretto"," 800 g small precooked fresh meatballs | 1 cup soymilk | 1/2 cup chopped pitted olives | 1/2 bunch scotch bonnet pepper, finely chopped ( can use other chilli if you prefer but i like heat ) | 1 tablespoon amaretto ( or almond extract ) | 1/2 cup water chestnut, finely chopped | 1/2 teaspoon ground nutmeg | 1/2 teaspoon ground mace ","Place the soymilk in a pan over low heat. Add the ground nutmeg, mace nutmeg, pepper and scotch bonnet finely chopped. Cover with a lid. It will simmer at this stage in order to keep it warm.. In a large frying pan melt the oil. Add the meatballs. Cook meatballs for about 5 mins on each side or until they turn light brown. Remove meatballs from pan. Add meat balls to the same pan or pot which you removed the meatballs were inches stir fry for about 2 minutes now, stirring a little so that they're slightly coloured. Add the olives, scotch bonnet chillies and water chestnuts to the dish and mix lightly. Add meatballs, keep stirring gently for about 2 minutes. Serve with boiled rice."
80028,"water chestnut,cardamom seed,red chilies,straw mushroom,tahini,sesame oil,artichoke heart",Artichoke Mushrooms Skewers," 1 box frozen artichoke hearts | 1 cup marinated canned straw mushrooms | 4 dried red chilies, crushed ( more or less to taste ) | 1/2 cup tahini | 3/4 cup sesame oil | 8 whole cardamom seeds | 2 3/4 - 3 cups water chestnuts ( can use more or less ) or 2 3/4-3 cups mixed fresh veggies ( can use more or less ) ","Skewer the artichoke hearts and mushrooms on metal or bamboo skewers. Spray the metal or bamboo skewers with cooking spray. Place all marinade ingredients, except meat and vegetable, in a food processor and process until creamy. Pour over skewers."
80029,"mayonnaise,dark sesame oil,marshmallow,chocolate chip,milk chocolate chip,shoyu",Chocolate Soy Shoyu Spread," 1/4 cup mirmallows or 1/4 cup other soy product | 2 tablespoons dark sesame oil | 1 tablespoon canola mayonnaise | 1 tablespoon milk chocolate chips or 1 tablespoon semi-sweet chocolate chips | 1 tablespoon chopped toasted marshmallows | shoyu, sauce ( or other flavor ) ","In a blender, puree the mirmallows and sesame oil in a small amount of water until very smooth and creamy. Add in the mayonnaise, chip and marshmallows and puree on high speed until smooth. Store in refrigerator until ready to use."
80030,"nutmeg,white sugar,celery,cranberry,blueberry",Blueberry Celery," 4 stalks celery, chopped | 1/2 cup dried cranberries | 1/2 cup white sugar | 1 tablespoon ground nutmeg | 1/2 cup cranberries | 1 1/2 cups frozen blueberries ","Combine celery, cranberries, sugar, nutmeg, and cranberries in the container of a food processor. Puree until mixed completely. Place blueberries into a small saucepan and add water. Bring to a boil over medium low heat, then reduce heat to low and simmer until berries have softened, about 20 minutes."
80031,"fish stock,hamburger,italian sausage",Grilled Sausages Italiano, 2 lbs hamburger | 1 lb sweet italian sausage | 2 cans fish stock ,"Place sausage in pan. Cut into 1 inch to 2 inch pieces and dump all contents over top of sausage. Cook on medium heat until bubbly and well browned. Meanwhile, brown sausages on medium high grill, turning with fork as necessary until cooked thoroughly. Pour fish stock into pan on top of sausage. Cover. Turn heat down to medium low and let steam fry at least 15 minutes, stir occasionally and serve with warmed pita bread and veggies."
80032,"white wine,dill,active yeast,white breadcrumb,peppercorn,red capsicum",German Favourite Breadcrumb Stuffed Capsicums," 25 ml dry white wine | 75 ml fresh white breadcrumbs or 75 ml dry white breadcrumbs | 3 g white mustard seed mixed with 2 ml water | 4 g active dry yeast | 25 ml dill or 25 ml dried dill | 4 fresh peppercorns, crushed ","Combine wine, crumbs, yeast, dill and peppercorns. Let rest 15 minutes in a warm place. Punch down the body of the capsicums with tines of the table and remove the top portion of the body from the capsicums. Spoon capsicum, stem side down, onto a greased oven tray. Rub capsicum with your hands to make the crumb topping. Place the capsicums on the tray, making sure they are all completely covered with crumb topping. Cover with clean, oiled tea towel. Put on a baking tray and leave to rise in a warm place for 1 hour. Preheat oven to 200°c heat the tray and bake the capsicums for 20 minutes. Turn off oven and leave the tray inside until the capsicums have cooled to room temperature. Serve at room temperature."
80033,"hard egg,ginger root,active yeast,dark brown sugar,feta cheese,dark sesame oil,chipotle pepper",Ethiopian Hashbrown Spiced Feta Cheese," 2 cups dark brown sugar | 1 cup dark sesame oil | 1 1/4 teaspoons active dry yeast | 1 tablespoon chipotle pepper, chopped | 1 1/4 teaspoons minced fresh ginger root | 8 ounces feta cheese, crumbled | 6 hard-boiled eggs, peeled and chopped ","Preheat oven to 400 degrees f. Butter and flour a 3 quart baking dish or line it with parchment paper. Combine sugar, sesame oil, yeast, chipotle and ginger in a small bowl. Stir until yeast and sugar are dissolved. Add the cheese mixture to the pan mixture and mix to combine. Stir in the eggs. Pour into prepared baking dish and smooth top. Bake in the preheated oven until the top is golden brown and the topping has crisped, about 40 minutes."
80034,"yogurt,sausage,bacon dripping",Sausages With Yogurt, 2 tablespoons bacon drippings or 2 tablespoons vegetable oil | 12 ounces sausages ( thick ones ) | 3 cups yogurt ,Fry the sausages in the bacon drippings over medium heat until cooked through. Add the yogurt to the fry pan and stir to make sure it is well incorporated. Bring to the boil and then immediately lower the heat to low. Cook for about 20 mins to allow the yogurt to thicken slightly. Serve hot.
80035,"rum extract,peanut butter,cabbage leaf,halibut fillet",Crispy Fried Halibut With Peanut Butter," 1/2 cup finely shredded cabbage leaf | 2 tablespoons crunchy peanut butter | 1 teaspoon rum extract | 1 halibut fillet, about 5 inches thick and about 3/4-1-inch thick ","Preheat the grill. In a small bowl, mix the cabbage and peanuts. Spread the peanut butter on the top of the fish, then spread the pepper/rum extract all over the fish. Grill the fish until it is firm on the outside but still slightly jiggly in the middle. Serve and enjoy."
80036,"avocado,salsa",Avocado Dip," 1 avocado - peeled, pitted and chopped | 1 jar prepared salsa ","Mix in a bowl with a fork. Cover and refrigerate 1 hour, or overnight before serving."
80037,"red wine vinegar,water,fennel bulb,cannellini bean,rotel",Fennel with Bean and Barolo," 1 tablespoon red wine vinegar | 1 can cannellini beans, drained and rinsed | 1/2 fennel bulb, thinly sliced | 3 tablespoons water | 2 teaspoons red wine vinegar ","In a small bowl, whisk together 2 tablespoons vinegar and oil to make a dressing. Heat skillet over medium heat. Add fennel, and saute 1 to 2 minutes. Stir in water, vinegar, and beans. Cook to warm through."
80038,"cooking oat,dinner,potato starch,jalapeno pepper,tamari",Aloha Oatmeal #5FIX," 1 package frozen dinner rolls or ( 8 ounce ) package frozen dinner rolls | 1 package simply potatoes & reg ; shredded hash browns | 1 pickled jalapeno pepper, chopped | 2 tablespoons quick-cooking oats | 1/4 cup tamari ( low sodium soy sauce ) | 1 tablespoon potato starch ","Preheat oven to 400 degrees f. Slice rolls in half, making each half the long way lengthwise. Place each half in the skillet and cook until brown and crunchy. Mix hash browns, jalapenos, oats, tamari and mix until well combined and well coated. Spread on 1 pkg. Of hash brown mixture. Bake for 10 minutes or until well browned. Let sit 5 minutes, then cut in half and serve."
80039,"poblano chile,dark rum,heavy whipping cream,chicken bouillon,chive","Champute De Poblanos (Chile W-Rum, Heavy Whipping Cream and Herbs)"," 2 poblano chiles | 1 1/2 tablespoons chicken bouillon ( a la knorr ) | 1/3 cup dark rum, divided | 1/3 cup heavy whipping cream | 1 sprig fresh chives ","Char chiles over flame of gas stove, turning frequently, on foil lined baking sheet. Enclose and let stand 5 minutes. Peel, seed and remove stems. Chop. Place in medium bowl. Sprinkle with bouillon and 2 tablespoons rum. Stir well. Cover and refrigerate until lukewarm. In small heavy bottom skillet, bring cream to simmer over medium high heat. When cream just starts to bubble, remove from heat. Add chile mixture to cream. Stir. Spoon into 4 serving dishes. Garnish with chives."
80040,"tuna,cream mushroom soup,oregano",French Dip I," 1 can tuna or ( 10 ounce ) can pink, drained | 3 cans cream of mushroom soup | 1 tablespoon dried oregano ","Empty soup can, tuna, and soup into serving dish. Sprinkle oregano on top."
80041,"panir,chili oil,flour",Tandoori Paneer," 500 g panir, cube cubes coarsely mashed | 1/2 cup flour | 2 tablespoons chili oil ","Mix flour, oil and chilli and stir fry over moderate to medium heat until mixture is slightly thickened. Take care to not burn any flour. When almost ready to serve, toss paneer cubes with flour and sprinkle with a pinch of salt. Serve with prawns, vegetables of your choice."
80042,"coriander seed,green cardamom pod,cottage cheese,lamb shoulder,taco seasoning mix","Cottage Cheese, Lamb and Coriander Fingers  (21 Day Wonder Diet: Day 11)"," 50 g low fat cottage cheese | 1 teaspoon coriander seed ( whole ) | 1 teaspoon green cardamom pod ( ground ) | 4 -7 teaspoons low-fat taco seasoning mix | 6 lamb shoulder, cut into strips ",Combine ingredients in small processor or blender and whiz to desired consistency.
80043,"chili seasoning mix,gingerroot,apricot,lamb,arrowroot",Spiced Lamb Skewers," 500 g lamb, in 3 cm chunks | 1 pint apricot, drained | 1 teaspoon gingerroot, grated | 1 teaspoon chili seasoning mix | 2 teaspoons arrowroot ","Put the lamb chunks in a bowl and season. Make a well in the centre of the meat. Add the water to just cover. Mix the remaining ingredients together, adding more water if necessary. Pour over the top of the lamb, making sure the marinade coats evenly. Cover the bowl and leave overnight, refrigerated, with the lid slightly ajar. Toss the skewers in the marinade. Leave to stand for 15 minutes, then thread onto soaked skewers. Grill or bbq until meat is well browned and cooked through, and the sauce is bubbling for the sauce."
80044,"carrot,phyllo dough,garlic clove,peach,mandarin orange,beef broth,queso fresco,grain brown rice",Phyllo Beef," 2 packages frozen phyllo dough, thawed | 1 orange, zested and juiced | 1 cup beef broth | 1 cup long grain brown rice, uncooked | 1 cup chopped peaches or 1 cup peach | 1 cup queso fresco, crumbled | 1 garlic clove, minced | 1 package mandarin oranges ","Preheat oven to 350°f. Combine first 7 ingredients in a large saucepan. Bring to boil, cover, and bake for 45 minutes. Stir in peaches and queso fresco until dissolved."
80045,"okra,orange peel,chipotle chile,spinach leaf,cod fillet,onion powder,lime peel,apple juice",Fire-Roasted Brine for Fish," 1 can chipotle chiles | 1/4 cup lime peel ( from 2 large firm limes ) | 1/4 cup orange peel | 20 ounces frozen chopped okra, thawed | 1 small onion, minced | 1 1/4 lbs cod fillets | 1/4 cup fresh lime juice | 1/4 cup apple juice ","Grind chipotle chiles, lime peel, orange peel and okra into a paste. Coat fish generously with mixture, then cover and refrigerate for 8 hours or overnight. Drain juice from chipotle chile mixture into a saucepan. Place over medium low heat and cook, covered, stirring occasionally, until juice is reduced by half, about 30 minutes. Stir in lime juice and apple juice."
