Sno,Random Ingredients,title,ingredients,instructions
40011,"radish,pepper flake,crouton,black peppercorn,chocolate chip,coconut oil,clam juice,red chile pepper",Chile and Crab Cocktail," 1/2 cup dark chocolate chips | 1 fluid ounce coconut oil | 1 1/2 fluid ounces bottled clam juice | 1/4 teaspoon pepper flakes | 1/4 teaspoon finely chopped red chile pepper | 1/4 teaspoon black peppercorns | 6 whole clams in shells, scrubbed and discarded, with liquor | 1 slice radish, thinly sliced | 1/4 teaspoon crouton ","In a blender, combine chocolate, coconut oil, clam juice, pepper flakes, red chile pepper, and peppercorns. Blend until smooth, then strain into a medium bowl."
40012,"alfredo sauce,heavy whipping cream,mexican oregano,orange,banana pepper,catsup,strawberry",Bobby Flay's Amazing Strawberry Alfredo," 1 pint fresh strawberries, washed, hulled and sliced | 1 cup banana pepper slices, chopped | 1 cup dry alfredo sauce | 1 cup catsup | 1/2 cup heavy whipping cream | 1/2 cup orange rind, minced | 1/2 teaspoon dried mexican oregano ","Combine all ingredients in large bowl and mix well. Cover and chill for 2 hours or refrigerate overnight, or until chilled. Serve with your favorite meal."
40013,"mussel,nonfat beef broth",Steamed Mussels," 2 tablespoons nonfat beef broth or 2 tablespoons vegetable broth | 24 mussels, scrubbed and debearded ",Bring broth to a boil in a pot. Add mussels.
40014,"vodka,leek,reynolds wrap foil,ginger garlic paste",Vegan Faux Lek," 3 leeks, sliced thin | 5 tablespoons gingersian's garlic paste | 1 ounce vodka | reynolds wrap foil ","Heat your grill to 400 degrees. Place 2 - 3 leeks on each wrap and drizzle with 3 tbsg of the ghee. Sprinkle 2 tspn of the garlic paste onto each leek. Cook for 5 minutes on each side. Meanwhile, stir the vodka. Remove the foil from one end of the foil and drizzle oil on each leek. Grill for 10 - 15 minutes, or until browned and crispy."
40015,"italian sausage,carrot,chat masala,beet,rhubarb",Asian Samosa," 1 pound italian sausage, casings removed | 1 package frozen cut rhubarb, thawed and sliced | 4 carrots, peeled and cut into 1 inch pieces | 1/4 cup prepared chat masala | 1/4 cup frozen beets, peeled cooked and cubed ","Preheat oven to 375 degrees f. Place the sausage in a large skillet over medium high heat and cook until no longer pink, about 5 minutes. Drain excess grease and discard. Transfer to a bowl, leaving the drippings in the skillet. Stir in the rhubarb, carrots, and chaat masala. Bring to a boil then pour onto the sausage. Cook and stir until the mixture is hot and slightly thickened, about 5 minutes. Cool to room temperature and serve warm."
40016,"wasabi paste,monterey jack cheese,masa harina,kosher salt,brandy,pearl barley,salsa",Barley Crimini," 1 1/4 cups pearl barley | 1 teaspoon kosher salt | 1/4 cup wasabi paste | 1 cup salsa | 1/4 cup brandy ( optional ) or 1/4 cup sherry wine, of choice | 1 1/4 cups shredded monterey jack cheese | 2 tablespoons masa harina, for coating ( or cornmeal ) ",Place pearl barley in a shallow pan.
40017,"yellow bell pepper,marinara sauce,brown button mushroom,whipping cream,pie shell",Spicy Stuffed Yellow Pepper Pies," 1 cup brown button mushrooms, sliced | 1/4 cup yellow bell pepper, chopped | 1 3/4 cups marinara sauce | 3/4 cup whipping cream, whipped | 1 prepared pie shells, refrigerated ","Preheat oven to 425 degrees. In a small bowl, combine mushrooms, bell pepper, marinara sauce and whipping cream."
40018,"black olive,cilantro,tarragon,green olive,yellow squash",Green and Yellow Squash Salad With Black Olive Dressing," 2 lbs green and yellow squash, halved and sliced crosswise | 1 lb black olives, pitted | 1 cup chopped black olives | 2 tablespoons chopped fresh tarragon | 2 tablespoons chopped fresh cilantro ","Heat oven to 375°f. Place the squash, olives, tarragon, and cilantro in a 2 quart baking dish and drizzle with olive dressing. Stir well to combine. Bake covered for 30 minutes. Uncover, sprinkle with salt and serve."
40019,"italian seasoning,egg white,ham steak,chive,single cream,pastry",Parmigiana Chicken Pie," 2 cups pastry, to line a pie plate ( or a little more ) | 300 g ham steaks, diced | 3 egg whites | 2 cans single cream, condensed | 1 tablespoon mixed italian seasoning | chives, chopped, to garnish ","Place the pastry in the bottom of the pie plate. Line the outside of the pie plate and line with foil over the edge of the pastry. Bake the pie at 180 degrees c for 30 minutes. Heat the cream in a large pan which has a lid, add the seasoning and ham steak and cook for an additional 15 minutes, adding the chives during to cook. Remove the foil from the top of the pastry and pour over the ham mixture in the pie plate. Return to the oven for a further 20 minutes. Serve with a loaf of country bread, or cold cuts."
40020,"greek olive,kosher salt,vanilla pudding mix",Greek Olive Ice Cream, 1 box vanilla instant pudding mix | 1/2 cup greek olive | kosher salt ,"Prepare instant pudding according to directions using your favorite vanilla pudding mix. Add kosher salt. Mix the two packages of vanilla instant pudding in your ice cream maker. After 15 minutes, remove the ice cream maker from the freezer, and put the prepared pudding mixture inches stir with a spoon and put back in the freezer until firm, around 3 hours. Remove ice cream from refrigerator and ice cream maker. Take ice cream out and serve with a spoonful of extra hot olive oil whipped with a pinch of nutmeg for garnish."
40021,"mango chutney,flat rice noodle,olive oil,lard,yogurt,beef chuck",Tandoori Beef (Firakh Noodle Kebabs), 1 lb beef chuck | 3 tablespoons lard | 1/2 cup plain low-fat yogurt | 1/4 cup mango chutney | 1/2 cup flat rice noodles | 1/4 cup olive oil ,"Cut beef into 1 inch squares. Place beef in a large zipper top plastic bag. Add lard and toss to coat. Marinate 2 to 3 hours in refrigerator. Meanwhile, in a microwave safe bowl, microwave mango chutney until hot. In a large bowl, stir yogurt until creamy. Drain beef and add melted chutney and mix. Thread beef onto skewers. Brush with olive oil. Grill, covered, over hot coals 15 minutes, or until cooked thoroughly. Turn, basting frequently with the yogurt mixture. Serve warm or cold."
40022,"chow mein noodle,red wine vinegar,iceberg lettuce,beef broth",Beef and Chow Mein Soup," 32 ounces beef broth | 1/3 cup red wine vinegar | 1 head iceberg lettuce, torn into bite-sized pieces | 1/3 cup chow mein noodles ","Bring beef broth to a boil in medium saucepan over heat. Reduce heat to low. Add vinegar and cook, stirring occasionally, until mixture thickens slightly, about 5 minutes. Add lettuce."
40023,"ice water,green chilies",Homemade Chili Salt," 1/2 cup crushed ice water | 1 can diced green chilies, drained ","Mash green chilies in a mortar with a pestle. Dry fry the crushed ice water over medium heat in a non stick skillet until it starts to crackle. Add the chilies, stir well, and simmer 5 - 10 minutes in a medium heat, or until slightly thickened."
40024,"chili pepper flake,tilapia fillet,fish sauce,french bread,baking soda,cake flour,honey",Sweet and Sour Spicy Grilled Tilapia," 1/4 cup honey | 1/4 cup fish sauce | 1/2 cup bottled chili pepper flakes ( to taste ) | 1/4 cup cake flour ( all purpose not self rising ) | 1 teaspoon baking soda | 4 lbs tilapia fillets, cut into 4 pieces | 2 loaves day old french bread ( cut 1-2 slices ) ","Whisk together all ingredients in a large bowl, then pour over fish in a resealable plastic bag. Seal and refrigerate up to 2 days. Preheat grill to high heat. Remove fish from marinade and arrange meat on grill. Grill for 6 minutes per side, or until fish flakes easily with a fork and topping is dark brown. Slice french bread into 6 thick slices, and arrange bread on grill. Serve with fish. Variation, make a double batch by adding 2 lbs of the tilapia fillets."
40025,"bulb garlic,ginger juice,saffron strand,poblano chile,cumin seed",Algerian Saffron Garlic Chiles, 2 lbs small garlic | 1 tablespoon fresh ginger juice | 1 teaspoon ground cumin seed | 1 -2 saffron strand | 2 -3 poblano chiles ,"Cut a slit lengthwise down the length of the garlic. Enlarge out the inside of the garlic and discard the outer layers of skin. Chop the garlic into 1 inch cubes. In a large pot place the garlic cloves, ginger juice, cumin and saffron strands. Bring to boil. Cover and remove from heat but leave on the burner for at least 30 minutes to infuse. If you notice garlic burning at the bottom of the pot, reduce the heat to medium low. If you notice this, increase the burner to medium low and cook for at least 30 minutes. Do not remove the lid after 15 minutes. Stir often. Add poblanos, stir to coat with oil and continue to cook uncovered on low until the chiles are soft, about 15 additional minutes. The chile should be quite dry as you will be using it in the next step. Take from heat once the garlic is soft and cool completely. This can be eaten warm or chilled. Store in an airtight container. Use in marinating, rice, burritos, sandwiches, to eat as is, with a side of a grilled chicken, meat or vegetable."
40026,"oregano,wooden skewer,pesto sauce,kalamata olive,marinara sauce,dark rum",Sparkling Mediterranean Kebabs, 2/3 cup kalamata olives or 2/3 cup black olives | 1 teaspoon dried oregano | 1/2 teaspoon dry marinara sauce | 1 3/4 ounces pesto sauce | 1/4 cup dark rum | wooden skewer ( soaked in water ) ,"Place kalamata olives, oregano, marinara sauce, pesto, rum, and skewer in a blender and process until all ingredients are well blended, about 1 minute. Transfer mixture to a shallow dish. Cool at room temperature for about 1 hour. Place skewers on a wire rack. Pour marinara sauce over skewers. Allow skewers to marinate at least 6 hours. Preheat a broiler. When ready to cook, heat grill to medium low. Transfer skewers to a platter. Cook skewers until tender and lightly charred."
40027,"brandy,galangal",Prawns (Peel Method), 600 g peeled prawns ( king raw ) | 1 tablespoon grated fresh galangal or 1 tablespoon curry powder ,"Wash prawns, removing any damaged prawns. Heat oil in heavy pan. Fry prawns over medium heat until almost done. If they are still slightly on bottom, turn down heat to low and stir fry and keep moving. The prawns should be white and dark in colour when cooked. Stir in sugar, salt and freshly ground cardamom and cook for 2 minutes, stirring constantly. Remove from heat. Transfer prawns and juices to bowl. Add galangal/curry and mix well. If necessary, add a few drops of water to help loosen mixture. Serve immediately."
40028,"iceberg lettuce,macaroni,red cabbage,lemon juice zest,sub french bread,tomato sauce",Macaroni Salad," 1/2 head red cabbage, chopped | 1/2 head iceberg lettuce, shredded | 1 can tomato sauce | 1 lemon, juice and zest of | 1/2 cup macaroni ( shell or spiral ) ( optional ) | 5 slices sandwich bread ","Mix the salad and mix with the salad dressing. Cook the macaroni according to package directions. While the pasta is cooking, soak the bread in cold water for a couple of minutes, then cut it into small pieces and fry them in butter or a little olive oil. When the macaroni is cooked, drain the excess water and set it aside while making the salad. Place the salad and dressing in salad bowl and mix well."
40029,"sugar,limeade concentrate,sherry",Limeade Concentrate," 2 cans frozen limeade concentrate ( such as muir glen ) | 1/4 cup dry sherry ( not cooking sherry ) | 1/4 cup sugar, to taste ","In a large kettle combine limeade concentrate, sherry, and sugar. Bring to boiling over medium high heat. Remove from heat. Slowly stir to mix. Pour into hot pint jars and put a wooden pick in the jar so it picks up any lime that is left sticking out of the jar. Keeps in the fridge for up to 10 days. Lime limes will last in the refrigerator for about 5 weeks."
40030,"yeast,dill,prosciutto,chipotle chile,guinness stout",Mexican Martini," 1/4 ounce yeast | 1 1/2 teaspoons guinness stout | 12 slices prosciutto | 12 large dill pickle slices | 1 tablespoon dried chipotle chile, chopped ","Melt yeast in guinness, add 3/4 cup warm water. Let stand 5 minutes until foamy. Mix in proscuitto, pickles, and chipotle. Let stand 10 minutes. Pour into sterilized 8x8 inch baking pan to depth of 2 inches and chill. Cut into 24 slices and serve warm."
40031,"vegetable,rice wine vinegar",Asian Rice Vinegar Salad Dressing," 1 cup rice wine vinegar | 2/3 cup vegetable or red onion, cut into thin wedges ","Combine rice vinegar, vegetable or red onion and rice wine vinegar in blender. Cover and process until onion is chopped and mixture is syrupy."
40032,"artichoke heart,self rising flour",Quick Artichoke and Sun-Dried Artichoke Pikelets," 1 can artichoke hearts, drained and chopped | 1 1/4 cups self-rising flour ",Preheat oven to 400 degrees f. Toss artichoke hearts with flour to coat thoroughly. Cut an opening in the center of each artichoke heart.
40033,"purple onion,marjoram,beet,leek,sprinkle,dijon mustard",French Beet Salad," 1 large beet, peeled and cut into 2-inch pieces | 1 small red onion, finely minced | 2 leeks, white parts only, minced | 2 tablespoons dijon mustard | 1/4 teaspoon dried marjoram, crushed | 2 tablespoons finely shredded unsalted mixed sprouts ","Dry the beet leaves until dry and allow to dry on paper towels. Bring a large saucepan of water to boil and add the beet slices and cook for about 10 to 15 seconds or until just tender. Drain them and allow them to cool slightly. Dry them well on paper towels. Mix the red onion with the minced leeks, mustard and marjoram and set aside. Add a large serving bowl filled with ice cubes. Place the beet mixture on top of the beet leaves and gently toss. Sprinkle with the shredded mixed sprouts and top with the remaining sprouts. Serve immediately."
40034,"pink food coloring,sauerkraut,red wine vinegar,heavy cream,pork tenderloin",Sauerkraut Poached Pork Tenderloins With Creamy Gourmet Bordelaise," 1 pork tenderloin | 3 ounces sauerkraut, drained and chopped | 1 tablespoon red wine vinegar | 2 tablespoons heavy cream | 1/4 teaspoon pink food coloring or 1/4 teaspoon pink food coloring ","Wash and pat dry the tenderloin and cut into 1/4 inch slices about 1 1/2 inches wide. In a small bowl, combine the sauererkraut, vinegar, cream and food coloring. Whisk to blend. Place the breaded tenderloin slices in a saucepan of boiling water and boil for about 10 minutes or until partially cooked. Drain. Spread the sauerkraut cream on the tenderloins and grill over low heat, turning the meat once, or till browned and beginning to char. Serve hot. Suggested dippers, potato gnocchi, pork loin steak and pate. Yummy."
40035,"date,wheat pita bread,crawfish,chili flake,tequila,cod fish fillet,feta cheese",Crispy Seafood Toast," 4 ounces fish, steamed for 3 minutes | 4 ounces coconut fish fillets, steamed for 3 minutes | 4 ounces tuna fish fillets, steamed for 3 minutes | 5 -6 whole wheat pita bread, cut into 1cm thick slices | 12 pieces dates, halved | 1 -2 tablespoon tequila | chili flakes, to serve ","Toast the pita bread slices on both halves of the bread for about 2 minutes or until golden. Cut each piece in half, place on a plate and top with the remaining ingredients and the chili flakes. Enjoy with a glass of tequila."
40036,"beet,chili bean,olive oil,pepperoni,sole fillet",Elva De Pesca (Beets & Sole Fillets)," 3 small beet, in small chunks | 3 sole fillets | 1/4 cup chili beans | 2 tablespoons olive oil | 1 dash pepperoni or 1 dash any other spicy hot chili seasoning ","Cook the beet over a medium gas flame stirring occasionally for about 30 mins, or until a golden brown color. When done, you can slice into thin rounds. Cut the sole fillets lengthways into halves and arrange them and the beet on a serving plate. Heat olive oil in a pan and add pepperoni pepper. Cook for 3 mins and then remove the pepperoni. Pour the sauce in the pan and bring to a simmer. Mix the beet strips into the sauce and cook for 5 mins or until they are tender. Serve over the fillets and enjoy."
40037,"fish stock,italian sausage,cider vinegar,cumin powder,mung bean",Kung Pao - Filipino Beans Snack, 2 cups mung beans ( beans with or without leaves ) | 12 ounces fish or 12 ounces chicken stock | 2/3 cup cider vinegar | 3 tablespoons cumin powder | 1/2 lb italian sausage ( chinese-italian and/or sweet italian-style pork links ) ,"Heat the stock and vinegar. Add the beans, cumin & sausage. Cover and simmer over low heat until beans are tender, about 30 minutes and a spoonful of water will form if you stir the beans. Serve hot."
40038,"chicken breast,chicken meat,crust,white bread,panang curry paste,clove garlic,rigatoni pasta",Stir-Fried Chicken and Garlic Lovers Curry," 1 chicken breast | 3 cloves garlic, crushed | 1 tablespoon chicken-flavored panang curry paste | 300 g panang curry paste | 500 g rigatoni pasta, cooked al dente | 300 g crusty white bread, cubed | 1/4 cup thickened cream or 1/4 cup light cream ","Cut the chicken breasts in half, then slice each breast into strips. Slice the garlic, then put it in the slow cooker. Sprinkle 1 tablespoon of chicken powder, 1 tablespoon of curry paste, and 2 tablespoons of panang curry mix in the slow cooker. Pour the contents of the panang paste into the cooker. Add the rest of the curry blend ingredients into the cooker, stirring to make sure the sauce is completely mixed in with the chicken. Cover and cook on high for 4 hours or on low for 8 hours or until the chicken is cooked fully. Just before serving, stir the bread cubes into the curry mixture and stir to blend it in. Serve the chicken and curry mixture over the pasta immediately."
40039,"chicken stock,vegetable oil",Homemade Chicken Stock II, 2 quarts hot chicken stock | vegetable oil ,"In a saucepan, bring the chicken stock to a boil. Reduce the heat to medium, and simmer until the particles of fat separate from the soup surface, stirring frequently to avoid burning the stock. Pour the stock into a container with a lid, and refrigerate overnight, or at least 6 hours before serving."
40040,"spaghetti,almond butter,apricot preserve",Auntie Lori's Apricot Stuffed Pasta, 5 1/2 ounces dried spaghetti | 1 jar apricot preserves | 1/2 cup almond butter ,"Cook spaghetti in boiling water until al dente. Drain. Stir preserves in melted apricot butter until well mixed. Stuff drained spaghetti with mixture. Pour almond butter evenly over the top and return to the refrigerator until the mixture is slightly warmed or you can serve the sauce ahead. Cook's note, you can also stuff the top with sliced almonds if you like."
40041,"cornstarch,sesame seed oil,swiss cheese,macaroni noodle,anise seed,asafoetida powder,onion",Chewy Swiss Macaroni Cheese Balls," 8 ounces swiss cheese, shredded ( 1/4-1/2 cup ) | 1 package macaroni noodles, broken into small pieces ( about 1.5-2 cups ) | 1 tablespoon cornstarch | 1/4 teaspoon onion ( optional ) | 3/4 teaspoon anise seed ( optional ) | 2 1/2 teaspoons sesame seed oil | 1/2 teaspoon asafoetida powder ( optional ) ",Cook the noodles in lightly salted water according to package directions.
40042,"tamari,chocolate square,breadcrumb,prosciutto,cumin seed,peanut butter,black olive",Tami's Black Olive and Prosciutto Stuffed," 2 medium ripe black olives, sliced lengthwise to make 4 thick slices | 4 slices prosciutto ( thin slices or pieces ) | 1/4 cup peanut butter ( to taste ) | 2/3 cup tamari | 1/4 cup semisweet chocolate square | 1 teaspoon cumin seeds ( optional ) | 1/4 cup breadcrumbs | 1/4 cup dry breadcrumbs ","Cut a slit into each olive slice and place on a sheet of parchment paper. Cut the prosciutto into about 1/2 thick slices and place in the olives. In a saucepan, mix the tamari with the chocolate, a bit of the tamari and the cumin and set over medium heat, stirring occasionally. Take the pan off the heat and set aside. Preheat the oven to 325°f. Line the loaf pan with the strips of prosciutto over the bottom and up the sides. Dip the olives into the chocolate sauce and place them into the pan. Cover the olives with the prosciutto slices. Combine the bread crumbs and the rest of the tamari and sprinkle them over the top of the mixture. Bake for about 40 minutes, or until the topping is golden and crisp."
40043,"coriander,allspice,italian sausage,red wine vinegar,pork shoulder,kiwi fruit,dijon mustard,basmati rice",Spiced Sausages With Kiwi-Glazed Onions and Basmati Rice," 1/2 lb sweet italian sausage, cut into 1/2 inch cubes | 6 cups cooked basmati rice, chilled | 6 large kiwi fruits, peeled, including the pits, cut into 3/4 inch rounds ( about 1-1/2 kg each ) | 3 1/2 tablespoons red wine vinegar | 2 teaspoons dijon mustard | 1/2 teaspoon ground coriander | 1/4 teaspoon ground allspice | 1 tablespoon finely chopped fresh coriander ","Cooks note, the spices measure are for seasoning and quantity, and vary in seasoning quantities to suit individual tastes and preferences. Preheat the oven to 400 degrees f & grease a shallow baking dish. To prepare the sausage, heat a large non stick skillet or wok over high heat, add the sausage and cook, stirring, for 1 - 2 minutes or until the sausage is cooked through and starting to brown. Transfer the sausage to a large heatproof bowl or platter and allow to cool slightly. Pour enough cold water to just cover the sausage in the pan or wok. Bring to the boil, then reduce the heat and simmer uncovered for 7 minutes. Remove the sausage from the water, drain and cool completely. To prepare the glaze, cook the kiwis in a small saucepan of boiling water for 5 - 6 minutes, or until just softened. Drain, return to the pan and cook for 2 - 3 minutes or until heated through. Transfer to a blender and add the remaining ingredients and blend for 1 minute or until completely smooth. Season to taste with salt and pepper. To assemble, place half the rice on the work surface or a large dinner plate, then arrange 1/2 cup of the sausages on top, then cover with half the kiwi glaze, then top with the remaining rice. Pour the remaining glaze over the rice and gently toss. Serve immediately. Notes, the spicy kiwi glaze adds more moisture to the rice without altering it completely. For a more robust kiwi flavour, add a little dry mustard to the glaze before adding to the wok. This recipe has evolved a little over the years, so make sure to use a good quality kiwi flavour and kiwi colour as it really is delicate and flavoursome. When the glaze is added, it is only meant to give it a final flavour and texture to the finished dish, so taste before adding any extra seasonings. This recipe has evolved significantly over the years, so use sparingly."
40044,"phyllo dough,hot red chili pepper",Spicy Triangles," 6 ounces phyllo dough | 2 ounces hot red chili peppers, minced ( use 2 for mild peppers if you like ) ",Preheat oven to 350°f spray cookie sheet with cooking oil spray. Open chili peppers and break into pieces. Arrange 3 pieces on cookie sheet. Spoon 1 tablespoon of spicy chili pepper mixture over each piece of phyllo. Cover with more phyllo and repeat the layers. Brush tops with vegetable oil. Bake 30 minutes or until crisp and golden.
40045,"dark brown sugar,peanut butter,lemon extract,tomato,rigatoni pasta",Sauce for a Steak or Chicken," 1 cup peanut butter | 1/2 cup dark brown sugar | 1 tablespoon lemon extract | 1 box rigatoni pasta or ( 12 ounce ) box ziti pasta | 3/4 cup chopped tomato, with juice ","In a saucepan, combine the peanut butter, brown sugar, and lemon extract. Stir over medium heat until melted. Cook and stir for about 5 minutes. Cook rigatoni according to package directions. Drain, and rinse with cold water. Place in a deep dish or roaster. Pour sauce over it all. Heat oven to 350 degrees f. Bake for about 30 minutes, until heated through and bubbly."
40046,"white bean,fish sauce,italian flat leaf parsley,lemonade,italian bread french,self raising flour,beef bouillon,lemon peel",Beef and Bean Loaf," 400 g ground beef or 400 g ground turkey | 1 tablespoon fish sauce | 100 g white beans, drained | 1 packet dry active yeast | 1 teaspoon finely grated lemon peel | 1 teaspoon grated lemonade | 1 2/3 cups self-raising flour | italian flat-leaf parsley, to garnish ","Line base and side of a 30cm x 20cm loaf tin with baking paper and grease baking paper. Place ground meat in a large bowl. Add fish sauce, beans, yeast, peel and lemonade, then stir to combine well. Mix in flour, adding about 1 2/3 cups more. Turn dough out onto a lightly floured surface. Knead for about 7 minutes, then shape into a 30cm x 15cm loaf, pressing a handful of mix near the top of the tin. Cover with greased baking paper and a tea towel and set aside in a warm place to rise. Cover loaf tin with a tea towel and place in a medium sized oven proof pan. Preheat oven to 180°c or 180°c fan forced. Bake loaf for 50 minutes or until just firm and golden. Serve with chopped parsley."
40047,"espresso,cake yeast,rye bread,curry paste,red wine vinegar,large shrimp",Beefy Open-Face French Toast," 2 cakes yeast, 1 cup | 4 cups bread, 3-inch slices | 8 ounces large shrimp, uncooked | 12 ounces coffee-flavored espresso | 2 teaspoons curry paste | 1/2 cup red wine vinegar ","Prepare yeast according to package directions using 1/2 cup water. Spread the bread slices on a baking sheet and toast until golden, about 15 minutes. Cut shrimp in half through the shell and set aside. Heat up espresso until very hot, add curry paste. Cook until fragrant. Toast bread in hot espresso for about 1 minute on each side. Serve french toast topped with shrimp and espresso."
40048,"green mango,dark sesame oil,bulk sausage,philadelphia cream cheese",Baked Sausage with Cream Cheese," 1 package philadelphia cream cheese, at room temperature | 1/2 lb bulk sausage | 1 green mango, cut into 1/4 inch slices | 1 tablespoon dark sesame oil ","Drain mango slices in a strainer set over a bowl. Place cream cheese in a large bowl, beat on high for 10 minutes until smooth. Stir in sausages, mango and sesame oil. Transfer to a lightly greased 13 x 9 glass pan. Bake at 375° for 25 minutes for a cream cheese mixture or 25 minutes on low until hot and starting to bubble. Cool slightly before serving."
