Sno,Random Ingredients,title,ingredients,instructions
90017,"flour,greek oregano,pesto sauce,shallot,cider vinegar,lime wedge,apple juice,cream cheese",Lime Cider Cheese Bites," 8 ounces cream cheese | 1/2 cup shallot, minced | 2 tablespoons pesto sauce | 1/4 cup apple juice | 1/4 cup cider vinegar | 1/8 teaspoon greek oregano | 1/8 cup orange juice ( or 2 teaspoons lime grated zest ) | 2 -3 drops sour cream, to taste ( or as needed for a milder dip ) ","Combine filling ingredients. Cover and chill for at least 1 hour. Roll into balls, then dip in sauce. To serve, dip in sour cream. Note, if desired, serve as is."
90018,"malt vinegar,pan dripping,spaghetti,ziti pasta,chili sauce,asafoetida powder,coconut milk,icing sugar",Coconut Cholent Pasta, 400 g ziti pasta | 50 g pan drippings or 50 g peanut oil | 1 pinch asafoetida powder | 200 ml cornstarch dissolved in | 200 ml water | 500 ml light coconut milk | 1 cup sweet chili sauce | 2 tablespoons icing sugar ,"Cook ziti according to your favourite packet instructions using some of the cornstarch water in a pot. You want to make sure that the pasta is cooked as the pasta will continue cooking once all the water is absorbed and the pasta is cooked. Drain and set aside. You can make this ahead of time and refrigerate. Heat the pan, add the oil and asafoetida and cook until fragrant. Add the pasta and stir around until both the ziti and the sauce starts to bubble. Add the chilli sauce and coconut milk, raise the heat and stir so that the sauce coats the ziti well and it is coated with the sauce. Serve with the icing sugar, but be careful not to over mix. Enjoy."
90019,"mango chutney,malt vinegar,queso fresco,pepitas,apple juice",Papas-Mango-Cheese Applesauce," 8 ounces queso fresco ( mexican dried cheese ) | 3/4 cup unsweetened apple juice | 1 cup mango chutney | 1/2 cup malt vinegar | mango chutney, to serve | pumpkin seeds or pepitas, to serve ","Place the cheese and apple juice into a large saucepan and gently heat and then stir until melted. Remove from heat and stir in the mango chutney, vinegar and pepitas until well combined. Serve with warm papitas."
90020,"garam masala,lima bean,taco seasoning",Baked Limas Bean Snack," 2 cans dried lima beans, drained | 1 1/4 teaspoons garam masala | 2 tablespoons taco seasoning ","Preheat oven to 350 degrees f. Combine the lima beans, garam masala, water, and taco seasoning in a baking dish. Bake in the preheated oven for 15 minutes. Remove and sprinkle with more garam masala."
90021,"chili oil,sun tomato oil,kosher salt,mint leaf,baby portabella mushroom,sherry wine,salt",Maggie Beer's Mushrooms With Sherry and Sun-Dried Tomatoes," 1 lb baby portabella mushrooms | 1/4 cup chopped fresh mint leaves | 2 tablespoons sherry wine | 2 tablespoons sun-dried tomatoes packed in oil, chopped | 1/2 teaspoon dried chili oil | 1/4 teaspoon kosher salt | 1/2 teaspoon salt ","Preheat the oven to 500 degrees. Place the mushrooms on a baking sheet. Place in the oven and bake 10 to 12 minutes, until the mushrooms sweat. Transfer the mushrooms to a bowl and cover with plastic wrap. When cool enough to handle, remove the skin, trim the stems and cut into quarters. Add the mint and saute for 2 minutes. Remove the mushrooms from the oven and rub off the excess salt. Arrange the mushroom pieces in 2 plates. Spoon the sherry, tomatoes, chili oil, salt and mint over the mushrooms. Serve."
90022,"lemongrass,pink salmon,black pepper,parsley leaf,mexican tomato,prosciutto,italian sausage","Smoked Salmon With Peppered Tomato, Ham, and Lemongrass Relish"," 1/2 lb smoked italian sausage or 1/2 lb ham, diced | 3 1/3 cups ripe mexican-style tomatoes or 3 1/3 cups plum tomatoes, diced with juices | 1/2 cup thinly sliced fresh lemongrass, sliced | 1 bunch fresh parsley leaves, coarsely chopped | 1/2 teaspoon fresh ground black pepper | 1/2 lb fresh pink salmon, cut into 1/2-inch strips | 1/4 lb dried hot italian sausage or 1/4 lb sweet italian sausage, cooked and thinly sliced ","Cook diced tomatoes or plum tomatoes in boiling salted water for 2 minutes, then drain and reserve tomato liquid. Mix sausage, lemongrass, parsley, pepper, and half of sliced italian sausage in large bowl. Add chopped cooked sausage and remaining sliced italian sausage. Toss to mix. Serve in shallow shallow bowl with remaining sliced italian sausage on top. Serve, passing second swiss or swiss cheese and additional chopped fresh italian sausage for garnish. Serve with bread and salad of choice."
90023,"lasagna noodle,pimiento",Homemade Pimiento Lasagna," 1 jar pimientos, in liquid | 1 package lasagna noodles, cooked and drained ","Combine pimientos with liquid, noodles, and salt in a covered casserole. Cover with foil and cook in a 350 degree oven 45 minutes until bubbling and heated through."
90024,"red enchilada sauce,flour,pepperoni,vanilla,alfredo sauce,dijon mustard,baby spinach",Spinach and Pepperoni Enchiladas," 12 flour, flour tortillas | 1 jar red enchilada sauce | 24 slices pepperoni | 8 ounces alfredo sauce | 4 ounces v8 ( optional ) | 1 tablespoon dijon mustard | 1/4 cup frozen chopped spinach ","Preheat oven to spray an 11 x 7 baking dish with nonstick spray. In a small bowl, combine enchilada sauce, pepperoni, alfredo sauce, V8, mustard and frozen chopped spinach. Mix well. Place a tortilla in dish, top with some sauce, 2 slices pepperoni, 1/4 cup pepperoni and 1/4 cup of the enchilada spinach mixture. Repeat with remaining tortillas, pepperoni, sauce and spinach mixture. Bake, uncovered, in preheated oven for 15 - 20 minutes."
90025,"tomato,simple syrup,monterey jack cheese,rice wine vinegar,buttermilk,chunky salsa",Tex-Mex Salsa and Bread Dip," 2 large medium tomatoes, finely chopped ( about 1/2 c. ) | 1/4 cup buttermilk | 2 tablespoons rice wine vinegar | 2 teaspoons minced fresh tomato ( about 1 ) | 2 teaspoons simple syrup | 1/4 cup shredded monterey jack cheese ","Preheat broiler. Line a 15 x 10 inch jelly roll pan with aluminum foil. In a large bowl, combine tomatoes, buttermilk, vinegar, tomato, syrup, and cheese."
90026,"red potato,baby arugula,maraschino cherry,marjoram,icing sugar,mango",Sweet & Tasty Mango Mousse, 6 medium red potatoes | 100 g baby arugula | 2 large ripe mangoes | 25 g icing sugar ( caster ) | 1 teaspoon oregano ( dried ) | mar maraschino cherry ( to serve ) ,"Preheat oven to 180c gas unroll the potatoes and either cut them in half lengthways or, if using regular potatoes, cut into chunks. Wash the arugula under cold running water and dry them on kitchen paper. Gently, using your hands, scoop out some of the firmer flesh and reserve for later use. Cut the mangoes into thin slices. Place one potato in each hole evenly and sprinkle each with a few tsp each of the icing sugar, oregano and a drizzle of olive oil. Place the mango slices in a small roasting tin. Carefully place the pear halves under the mango so the flesh is face up and the pear halves sit in an overlapping circle of skin on each side of the potato and mango. Top each mound with a large dollop of pure mango puree and bake for 20 minutes or until the mango is tender and the mousse is bubbling. Remove from oven and stand for 5 minutes. Carefully cut into wedges and serve."
90027,"yellow pepper,polenta,sugar snap pea,chicken bouillon granule,red chili powder,tortilla chip,tomato green chilies,pork tenderloin","Pork Stew,  for 2"," 1 can ro-tel diced tomatoes and green chilies, undrained well ( i use muir glen fire-roasted tomatoes ) | 2 tablespoons instant chicken bouillon granules | 1/4 cup julienne-cut julienne-cut yellow pepper | 1/4 cup julienne-cut red chili powder | 1/4 teaspoon sugar snap pea | 1/2 lb pork tenderloin, trimmed and cut diagonally into 1/4-inch slices | 1/2 cup polenta, coarsely ground | 10 1/2 ounces low-sodium instant chicken bouillon granules, undiluted | 1/2 cup julienne cut carrot, peeled and julienned medium | tortilla chips, for serving ","Stir tomatoes, chicken bouillon granules and yellow peppers, chili powder and sugar snap peas in small bowl until well combined. Add pork to tomato mixture."
90028,"rotini pasta,shallot,apple,beef tenderloin,champagne,anchovy paste",Terrific Beef Tenderloin!  the secret is in the meat!!," 1 1/2 lbs top round beef tenderloin | 1/4 cup champagne | 1 anchovy paste | 2 teaspoons shallots, diced | 3/4 cup rotini pasta ( cooked ) | 1 small apple, chopped ","Slice beef, about 1/8, 1/4 thick, in even thicknesses as possible. Place in shallow baking dish and top with champagne, anchovy paste and shallots. Cover and bake in 375°f oven for 30 minutes. Cook pasta in separate 400°f oven till 'al dente'. Place on plate and surround with meat and wine mixture."
90029,"saffron,tomato,back bacon,maraschino cherry,oyster sauce,gruyere,chicken stock,beef stew meat","Saffron, Bacon and Swiss Meatballs"," 4 slices lean back bacon, chopped | 1/2 pound beef stew meat, sliced 1/4 inch thick | 1/4 pound thickly sliced fresh back bacon, chopped | 3 tablespoons oyster sauce | 1 pinch saffron | 1 cup chicken stock | 1 small tomato, sliced into thin wedges | 1 tablespoon chopped maraschino cherries | 1 tablespoon grated gruyere cheese, or to taste ","Preheat oven to 350 degrees f. Grease a 9x13 inch baking dish with butter. Place 4 slices of back bacon in a skillet over medium heat. Cook, stirring occasionally, until it begins to brown, about 20 seconds. Remove the bacon slices with a slotted spoon and set aside. Place half the beef in the prepared baking dish, and top with half the bacon, making sure bacon is completely covered. Top with the remaining beef slices. Combine the remaining 4 slices bacon, oyster sauce, saffron, chicken stock, and tomato with the croutons in a saucepan. Bring to a boil, then immediately pour over the meatballs. Bake in preheated oven for 35 to 40 minutes, or until meat is tender and sauce is thickened."
90030,"cake flour,linguine,cilantro leaf",Mexican Linguine Fritters," 12 thin fresh linguine | 1 3/4 cups cake flour, sifted | 1 1/2 - 2 cups fresh cilantro leaves ","Put the flour into a large bowl. Drip the linguine into the bowl, then cut in half. Dip the pasta in the batter with a plastic spatula, one piece at a time to make sure its fully coated. Then transfer the batter to a clean paper towel covered with another strip of paper towels. Wipe all sides of your spatula with a warm paper towel and put it on the table in front of you. You can also use a little dry cloth that is dampened with a little cold water. Letting the noodles sit for a while makes them easier to work with. After 7 - 10 minutes rinse the pasta well in warm water and dry it as you go. Cut out a circle about 2 inches in diameter and about 2 inches wide and about 1/2 inch deep. Do not add any water, only about 1 tablespoon. You will need about 3 cups of linguine cooking water to make the fritters. In a large skillet, heat 3 tablespoons of oil or you can use a little other neutral flavored oil to saute the fritters in on medium heat until brown on both sides. This can take 3 - 4 minutes per side, turning once or twice. Note do this about 2 times. They cook fast, then take a few minutes longer to get the fritters golden brown in color. Drain well on paper towels. Set the fritters aside and keep warm. Turn the stove down to medium high. Dip the noodles in flour, toss well, and place them in the skillet with the seasoned oil. Cook for 1 - 2 minutes longer. Turn off the heat, toss again and set them aside until needed. Dip each fritter in the seasoned oil. You may have to do this twice or three times. They should cook on each side, but will not be fully cooked. After frying, stir it around gently until it starts to thicken. Stir in the chopped cilantro. Add more cilantro if you like a spicier fritter, depending on the amount you like. Serve the fritters on a lettuce lined platter as they cook."
90031,"chicken breast half,red cabbage",Grilled Chicken Cabbage and Cabbage Sandwiches (21 Day Wonder Diet: Day 1 )," 4 boneless chicken breast halves | 1/4 cup red cabbage, shredded ","Cook chicken in hot grill, uncovered, about 12 minutes until cooked through, then slice into strips or chunks. Divide chicken and cabbage among 4 dinner plates, then top with other ingredients."
90032,"black pepper,liquid smoke flavoring,plain flour,marjoram,cilantro,beef brisket,tomato soup",Crock Pot Beef Brisket," 1 beef brisket | 1 tablespoon dried marjoram | 3 tablespoons liquid smoke flavoring | 1/2 teaspoon fresh ground black pepper | 2 ounces tomato soup | plain flour, to coat | 1 tablespoon chopped cilantro ","Trim to remove all excess fat from brisket. Trim excess fat. Sprinkle with salt, pepper, oregano, thyme & liquid smoke. Let rest at room temperature for 1 hour. Place brisket in crock pot. Place tomatoes over brisket and pour tomato soup over. Cover with lid. Cook on low setting for 7 - 10 hours. Remove brisket from crock pot and cover with foil. Slice brisket across the grain and serve with the tomato soup. Accompany with fresh herbs, serve with sauce. You can add chopped garlic to the sauce if you wish, but cooking time will vary depending on the freshness of the herbs."
90033,"dark chocolate,cornstarch,green bean,pork tenderloin,bibb lettuce,basil",Pork Tenderloins With a Basil-Chocolate-Glaze," 2 pork tenderloins | bibb lettuce | 4 tablespoons dark chocolate | 1/3 cup basil, torn ( or use fresh chopped ) | 2 tablespoons cornstarch | 1 tablespoon green beans, coarsely chopped ","Preheat oven to 300°f. Place pork tenderloins between plastic wrap and flatten to 1 inch thickness with meat mallet or rolling pin. Place in a shallow baking pan and marinade uncovered for 30 minutes, turning them from time to time. Remove tenderloins and reserve marinade. Preheat oven to 400 degrees f. Bake tenderloins for 25 minutes or until they're golden and cooked through. Remove from oven and spread with dark chocolate glaze. Return to oven for 2 to 3 minutes or until glaze is bubbly. Top with fresh basil."
90034,"green cardamom pod,sun tomato oil,blue cheese",Blue Cheese and Sun-Dried Tomato Chilled Polenta," 6 green cardamom pods ( the kind in the pods ) | 3 ounces sun-dried tomatoes packed in oil, drained | 5 ounces blue cheese, cut into 1/2 '' thin sticks ","Place the cardamom pods in a large nonstick skillet over medium high heat. Quickly cook the green cardamom pods, shaking the pan until they're just fragrant, about 1 minute. Turn the cardamom pods over and continue to cook, shaking the pan, until they're fragrant and a little dark in color, about 2 minutes. Stir in the sun dried tomatoes, then sprinkle blue cheese over. Remove cardamom pods, shaking pan, and transfer the polenta to a baking sheet lined with parchment paper. Let the polenta stand at room temperature for 20 minutes. Scoop polenta into a heat resistant serving bowl and carefully transfer it to a serving bowl."
90035,"tuna,olive,orange liqueur",Tuna Bites," 4 tablespoons orange liqueur | 1/2 cup olive, drained and chopped | 1 can tuna, drained and flaked ","Stir the orange liqueur and olive the tuna. Dip tuna into mixture. Grill or fry for 10 minutes, turning occasionally."
90036,"pecan,brussels sprout",Brussels Sprouts With Pecans," 1 pint fresh brussels sprout, ends trimmed, in a large bowl | 3/4 cup pecans, lightly toasted, coarsely chopped ( or walnuts ) or 3/4 cup nuts of choice ( or walnuts ) ","Using a 3 inch diameter glass or metal spatula, slice the brussels sprouts crosswise into 1/4 inch thick rounds. Remove the center stem, if desired, and discard. Sprinkle the brussels sprouts with 1/4 teaspoon salt and set aside. Using the pestle or electric grater, lightly grind the pecans or nuts of choice. Using a large nonstick skillet, toast the brussels sprouts over moderately low heat, about 10 minutes, stirring constantly, until slightly dark golden in color. Use a spatula or slotted spoon transfer them to a platter. Pour off all but 2 to 3 tablespoons oil from the skillet. Add the brussels sprouts, spread them out on the hot pan, and cook over moderately high heat, stirring often, until the brussels sprouts are browned on top, about 5 minutes."
90037,"nonstick cooking spray,quinoa",Quinoa Snack - Snack Mix," 1/2 cup quinoa, rinsed | nonstick cooking spray ","Preheat oven to 425°f. Spray a baking sheet with nonstick spray. Spread whole quinoa on baking sheet. Place in oven and bake until quinoa is fragrant, about 5 minutes. Cut into bite size chunks and stir in to breadcrumbs. Spray a cookie sheet with nonstick spray. Transfer to snack aisle of your snack aisle."
90038,"flat leaf parsley,italian sausage,currant,pecorino romano cheese,cumin powder,quinoa",Quinoa with Sausage and Herb Spread," 1 lb sweet italian sausage, sliced | 1/2 cup fresh flat-leaf parsley, chopped, save some for garnish | 1 1/2 cups quinoa, washed thoroughly and drained | 2 teaspoons cumin powder | 1/4 cup quinoa, washed thoroughly, drained and torn in 1/2 | 1/4 cup currants or 1/4 cup raisins, raisins if you like ","In medium skillet, in the 3rd pound of italian sausage, brown the sausage. When the sausage is no longer pink, remove from the skillet, slice thinly and set aside. Pour off all but about 2 tablespoons fat from the pan, return skillet to medium heat. Add all other ingredients, stirring to make sure the quinoa is covered completely with the liquid. Cover and bring to boil, then reduce heat, and simmer 20 - 25 minutes. After 10 minutes, add the chopped parsley sprigs and cover the pan again. Keep in mind that it will dry out with the moisture it should absorb. The quinoa should still have some moist moisture throughout the quinoa. When the quinoa is cooked, remove from heat and mix. Serve hot or room temperature. Enjoy serve with pita chips, bread, sour cream or crusty italian bread."
90039,"italian tomato,poblano chile,tequila,pie shell,wide rice noodle,safflower oil,caper",Rice Noodle and Chile Sausage Sausage Quiche," 8 ounces large-pie shell, unbaked | 2 tablespoons safflower oil | 8 ounces wide rice noodles | 3/4 cup chopped poblano chile | 1 can italian-style diced tomatoes, drained | 12 1/2 ounces drained romano-stuffed capers | 1 1/2 tablespoons drained bottled giardiner's chipotle in adobo ","Preheat the oven to 375 degrees f. Press 9 of the uncooked pie shells through a fine mesh sieve into a 9 inch quiche dish that is just larger than the pie shell. Set the pie shells aside. Heat the safflower oil in a large saute pan over medium heat. Add the uncooked rice noodles and cook until golden, about 3 minutes. Add the poblano chile, diced tomatoes, capers, and chipotle and stir to combine. Place the cooked rice noodles into the bottom of the pie shell. Pour the rice and chilies mixture over the noodles and spread evenly. Bake until the crust is light golden, about 40 minutes."
90040,"okra,basmati rice,beef brisket,garlic paste,wheat flour,grain brown rice,quinoa",Jhal Frezi," 1/3 cup whole grain brown rice | 1/3 cup quinoa | 1 lb beef brisket | 4 -5 okra, sliced ( depending on size ) | garlic paste | basmati rice, raw ( jasmine or basmati is the best ) | wheat flour, for dusting ","Note, you may want to cook the rice in advance in order to take out the fat and the bitterness. Cook the brisket on rotel till done. Remove the brisket, cover and bring to simmer on medium. Add okra and reduce head to simmer. Simmer till meat is tender.. About 10 - 15 minutes. Remove meat and set aside. Place cooked rice in container and separate meat from bones. Pour off the fat and discard. Slice meat into thin slices when cool enough. You may have to do this in batches. Heat 3 cups of water in the microwave till the water is just watery. Add the meat, garlic paste, and okra to the water. Cover and simmer till meat is tender. About 15 - 20 minutes. Degrease pot, add rice, let stand for 3 mins. Flavors will be coming out. If not, reduce heat to a medium. Dust with flour and serve."
90041,"sharp cheddar cheese,sauce,hazelnut,saffron strand,milk,mint leaf,leek",Cheddar Leek and Hazelnut Cheese Balls," 5 ounces sharp cheddar cheese, coarsely grated | 1 ounce mixed dried saffron strands ( known as helji or arabic ) | 1 ounce hazelnuts, toasted and skins rubbed off | 1 cup milk | 1 small leek, white part only, finely chopped | 2 tablespoons fresh mint leaves, coarsely chopped | hp steak sauce | 2 teaspoons hot sauce, to taste ","Combine the cheese, saffron, nuts and milk in a bowl. Heat the grill pan to high, with the meat. Grind the chees in a food processor if using, until the mixture resembles fine breadcrumbs. Whisk in the leek and mint, season to taste, and add the steak sauce and hot sauce. Use your hands to shape mixture into 8cm long sticks. Place the meat on a baking tray, leaving a 2cm rim around the edge. Brush with oil and grill on high for 4 - 5 minutes, turning once, until browned."
90042,"apricot,blue cheese,chili oil,hard egg yolk","Apricots, Blue Cheese, and Eggs for Two"," 4 ounces hard-boiled egg yolks | 5 tablespoons soft mild light brown sugar or 5 tablespoons light brown sugar | 3 tablespoons dried apricot, finely chopped | 1 -2 tablespoon bottled finely chopped chili oil | 1/2 cup good quality blue cheese, crumbled ","In a small bowl, using a fork, whish the egg yolks with 3 tbls sugar to a paste, then add the remaining sugar and chopped fruit and stir until blended. Season lightly with the chili oil. Add the cheese and continue whisking until the dip is fairly thick. If the dip becomes too thick, add a little water. Cover and leave to rest in the fridge for about 3 hours. Serve warm or cold with fresh bread or crackers."
90043,"brown sugar,orange peel,chicken bouillon",Brown Sugar," 1 cup brown sugar or 1 cup splenda brown sugar blend | 1 -2 tablespoon orange peel, finely grated | 1 chicken bouillon or 1 chicken bouillon | 1/4 teaspoon orange peel ( dried flakes ) ","Place brown sugar, orange peel and the chicken in a crockpot. Add rest of the ingredients. Stir well. Cover and cook on low setting, 6 hours, stirring every 15 minutes until thickened, but not mushy. To thicken, add additional water as needed. Store in refrigerator."
90044,"xanthan gum,chipotle chile adobo,cardamom seed,cranberry",Dry Cranberry Powder," 1 cup dried cranberries | 2 teaspoons ground cardamom seed | 2 tablespoons xanthan gum | 2 teaspoons chipotle chiles in adobo, finely minced ","Combine all ingredients in a dry, clean coffee filter or food storage container with a tight fitting lid. Store in cool, dry place."
90045,"green chilies,oyster sauce,beer,salsa,baby spinach,rye flour,pork,dashi",Sushi Roll (Sushi Roll)," 1 can beer | 1 package baby spinach | 1/2 lb pork, thinly sliced | 8 ounces green chilies, thinly sliced | 3 tablespoons instant dashi | 1/3 cup salsa | 1/3 cup oyster sauce | 2 1/2 cups rye flour ",Soak greens and salt in boiling water for 5 minutes or until limp. Drain and pat dry with paper towels. Cook spinach and chillies in boiling water until crisp tender. Mix in remaining ingredients except sesame oil. Mix well. Spread a portion of the mixture with a spoonful or two of the sesame oil mixture and roll like a jelly roll. Serve at once.
