Sno,Random Ingredients,title,ingredients,instructions
60011,"plain flour,molasses",The Oxford Blender - Easy Mix for Baking, 6 ounces plain flour | 1 tablespoon molasses ,Mix the flour and molasses together with a knife.  Stir the dry ingredients into the liquid mixture until you have something that resembles breadcrumbs.  The mixture should feel like coarse sand falling off the spoon as it knoches.  Put dough into a greased loaf tin and leave to rest in a cool place in a preheated oven for about 2 hours.  The loaf tin should not be too cold or it could end up baking in the oven.
60012,"oil olive,heavy cream,red bell pepper,tomato green chilies,plum tomato,sun tomato,graham cracker crumb,rice wine",Pizza Mexicano," 2 tablespoons sun-dried tomatoes | 2 tablespoons oil, divided | 1 can canned diced plum tomatoes and green chilies | 1/3 cup heavy cream | 2 tablespoons rice wine | 1/2 cup peeled, sun-dried tomato, chopped | 1 cup shredded rotisserie cooked chicken or 1 cup shredded rotisserie cooked vegetables | 1 cup shredded graham cracker crumbs ","Heat 1 tablespoon oil in a large, nonstick skillet over medium high heat.  Stir in sun dried tomatoes, plums, cream and rice wine and bring to a boil.  Reduce heat.  Stir in chicken or vegetables.  Sprinkle with crumbs.  Simmer 5 minutes or until bread is golden."
60013,"monterey jack cheese,chicken breast,black olive",Chicken Fajita, 2 boneless chicken breasts | 1 cup shredded cooked chicken breast | 1/2 cup of diced black olives | 1/2 cup shredded monterey jack cheese or 1/2 cup monterey jack cheese blend ,"Place both breasts in greased 9x13 inch baking dish.  Combine remaining ingredients.  Pour over the top.  Bake at 350 degrees, uncovered, about 30 min or until chicken is no longer pink in center and juices run clear."
60014,"fruit,feta cheese",Kartoffelsalatakia (Feta Cheese Balls)," 5 cups greek fruit ( dried, like prunes, peaches, apples, pears.
    - grapefruit, berries, rhind, pomegranate ) | 1/3 lb feta cheese ","Cook fruit in boiling water for 10 minutes.  Drain and mash the fruit in a bowl.  Add the feta cheese and stir.  Drain off any excess liquid.  Form into small balls the size of walnuts and put on a cookie sheet that has been lined with parchment paper.  Bake at 450f for 15 - 20 minutes, or until golden brown."
60015,"leaf lettuce,thyme,stewing beef,sesame oil,pecan",Lorrie's Beef and Walnut Salad," 1/4 cup toasted sesame oil | 1/2 lb stewing beef, cut in one-inch cubes ( may use sirloin steak, halibut or or a mix ) | 1/2 cup toasted walnut pieces | 1/3 cup packed fresh pecans | 2 cups torn leaf lettuce ","Heat oil in a large skillet.  Sprinkle beef with salt and pepper.  Brown meat well on all sides, about 10 minutes.  Add nuts and continue cooking about 5 minutes until nuts begin to turn a golden brown.  Arrange lettuce over meat and drizzle with toasted nuts and toss to coat.  Enjoy."
60016,"sage leaf,artichoke heart,white mushroom",Artichoke Stuffed Mushrooms, 4 ounces white mushrooms | 4 ounces artichoke hearts | fresh sage leaves ,"Preheat the oven to 350°f wash and dry the mushrooms.  Cut away the stems by slicing the stem, and trim the mushroom caps.  Take a small pan, and put about 1/4 cup of water in it, and bring to a simmer.  Add the mushroom caps and a few tablespoons of water, cover and cook for 10 minutes, then cover again and cook the mushrooms for 5 minutes.  Drain the water out, and chop up the artichokes and sage leaves.  Remove the mushroom caps from the pan again, and stuff closed with the artichoke mixture, using a sprig of sage if you wish.  Place the mushrooms on a foil lined baking tray.  Cover, and cook for 15 more minutes or until the mushrooms are nicely roasted and soft."
60017,"broccoli,baby carrot,french bread,pepperoni",Spicy Broccoli Cheese Bread, 1 loaf french bread ( sliced ) | 12 -15 baby carrots | 1 package pepperoni | 12 ounces frozen broccoli ,"Mix and freeze together.  To use defrost frozen veggies, bring to a boil in a large pan.  When thawed drain water.  Add frozen veggies, cheese and pepperoni to bread.  Tear into bite size pieces.  Sprinkle as desired."
60018,"leaf basil,cornflour,paprika,beetroot",Crispy Beetroot, 1 cup chopped beetroot | 2 teaspoons paprika ( i prefer smoked paprika ) | 3 tablespoons cornflour | 2 teaspoons leaf basil ,"Heat oven to 400 deg f.  Mix all ingredients until well combined.  Transfer to a lightly greased, lined 2lb loaf tin, and bake for 45 - 50 mins, or until brown and slightly crispy on top."
60019,"black pepper,sirloin tip,red bean,marinara sauce",Beef Tips With Beans," 1 lb sirloin tip, trimmed | 1/2 teaspoon black pepper | 1 1/2 cups marinara sauce | 2 cans red beans, drained and rinsed well ",Cut tips into chunks.  Spray bottom of crock with cooking spray.  Place beef tips in crock.  Add pepper.  Pour marinara sauce over beef tips and add drained beans.  Mix well and cover with lid.  Cook crock on low setting for 6 hours.
60020,"heavy whipping cream,vanilla essence,salmon,honey,date,onion powder,oregano leaf",Baked Chilli Salmon," 2 lbs salmon | 4 tablespoons honey | 4 tablespoons heavy whipping cream | 4 tablespoons fresh oregano leaves, finely chopped ( may use dried basil ) | 2 teaspoons onion powder | 2 teaspoons vanilla essence | 2 tablespoons dates or 2 tablespoons sunflower seeds, coarsely chopped ","Preheat oven to 180c.  Place salmon on a large oven tray and sprinkle with salt and pepper.  Place tray in oven to set for 5 - 9 minutes.  Meanwhile, place honey and cream in a small saucepan over medium heat and stir until honey is melted add oregano, onion powder and vanilla essence.  When salmon is ready to be cooked, place in small roasting bowl, pour honey sauce over and mix well.  Roast in the oven for 40 - 45 minutes or until golden and cooked through but not overcooked.  Meanwhile, toast sunflower kernels in a small frying pan till golden brown, cool, then toss with the dates and cool completely.  Place a rack in the center of the oven and heat to 190c, 425f or gas mark carefully remove fish from refrigerator on to serving plate.  Remove skin and bone from fish and place on serving plate.  Arrange the cooled salmon on top."
60021,"mustard seed,farfalle pasta,arrowroot,napa cabbage,ketchup,broccoli floret,zucchini,peppercorn",Broccoli and Bow Ties, 1 package farfalle ( bow tie ) pasta | 1 teaspoon mustard seeds | 1 cup sliced zucchini | 1 cup chopped broccoli florets | 1/2 cup chopped napa cabbage | 1/2 cup ketchup | 1/4 cup arrowroot | 1/4 cup ground peppercorns ,"Bring a large pot of lightly salted water to a boil.  Cook the bow tie pasta at a boil, stirring occasionally, until cooked through but firm to the bite, 12 to 15 minutes."
60022,"beef chuck,zucchini",Zucchini With Bashed Beef," 1 lb beef chuck, shaved | 2 medium zucchini, halved lengthwise ",Arrange zucchini halves.  Put in 9 x 13 inch baking dish.
60023,"ladyfinger,flour tortilla,dark beer,cherry tomato,orange,barley,spaghetti",Baked Cherry Tomato Wraps," 8 ounces cherry tomatoes | 8 ounces dark beer | 8 ounces plain flour tortillas, warmed | 8 ounces ladyfingers, split | 6 ounces spaghetti, broken into 3rds | 3 tablespoons finely grated orange rind | 6 ounces sweet italian spices ( see note ) ( optional ) ","Preheat oven to in a shallow baking dish, combine the tomatoes, beer and 1 tsp salt.  Cover the dish and bake at 180c for 40 - 45 mins or until tender.  Arrange half of the biscuits on a board, and make a hollow in the centre, fill with sauce, arrange the other half of biscuits in the hollow, and cut a hole in the centre, fill with sauce, arrange on top, and bake a further 13 mins or until crisp and golden.  To serve, spread orange rind over the rolls and serve with a dollop of sweet italian chilli.  Notes, it’s important to make up the dried spices and not the nuts.  The flavour can vary according to your tastes.  Cooking, if using fresh herbs such as parsley, cilantro and tarragon, combine 1tbsp dried basil in a cup of hot water.  Drain well.  Cook pasta according to the packet instructions.  Drain and rinse in cold water, then drain well.  Combine all the sauce ingredients together in a pan and bring to the boil, cook for a few minutes and remove from the heat.  Preheat oven to 200c, and place a baking sheet on top.  Spoon a quarter of the tomato mixture into the centre of a tortilla and roll up, tucking in the ends.  Serve the rolls wrapped in the sauce topped with the remaining slices of biscuit."
60024,"plain nonfat yogurt,red kidney bean,superfine sugar,topping,gruyere cheese,cherry heering",Classic Red Beans and Gorgonzola Cheese," 1 can red kidney beans, drained | 1 container topping, fat-free | 1 cup plain nonfat yogurt | 2 tablespoons superfine sugar | 4 ounces grated gruyere cheese | 2 tablespoons cherries in melted cheese ","Preheat oven to 350°f.  Line an 8 inch square baking dish with foil and spread spinach over the top.  Place the beans on top of the spinach and drizzle with yogurt, then sprinkle with salt, sugar and grated cheese.  Drizzle with the cherries and bake at 350°f for 30 - 35 minutes, until bubbling and bubbling."
60025,"garlic,pasta sauce,spanish onion,cake flour,espresso,cream mushroom soup,artificial sweetener,beef bouillon cube",EZ Easy Beef Stroganoff, 2 lbs sirloin steak ( cut into strips ) | 2 packets artificial sweetener | 1 teaspoon garlic ( minced ) | 2 tablespoons cake flour | 3 1/2 cups pasta sauce | 3 beef bouillon cubes | 1 1/2 cups cream of mushroom soup | 1 package of marinated artichokes hearts ,"Cut meat into strips, set aside.  In a medium bowl blend sweetener, garlic, and flour.  Place meat in a baking dish with sweetener mixture, and bake at 350 degrees for 30 minutes.  Stir occasionally, and top with pasta sauce and artichokes.  Cover and bake at 350 degrees for another 30 minutes.  Serve over cooked noodles."
60026,"bamboo shoot,laughing cow cheese,tomato green chilies,fennel seed",Spicy Vegetable Roll-Ups, 1 medium tomatoes or 1 medium vidalia onion | 1 can of chopped bamboo shoots ( or one 4-serving equivalent ) | 8 ounces laughing cow cheese | 1 can fennel seeds ,"In a large frypan or griddle, toast fennel seeds well.  You can either crush them or crush them slightly with an electric mortar and pestle, or you can pulverize them well in a mortar and pestle.  In the frypan or griddle, toast fennel seeds well.  Do not burn the seeds.  The seeds are only meant to give the flavor an additional kick.  Dump in this all at once and mix well, breaking up the larger pieces of cheese when you add it.  Add fennel seeds and let cook and stir for an additional 5 minutes.  Serve with fresh vegetables and dips."
60027,"white vinegar,beef,pastry dough,mint,garlic,baby green",Flaming Meat Pie," 1 pastry dough | 1 -2 tablespoon white vinegar | 500 g lean ground beef | 300 g baby greens | 1 teaspoon of fresh mint, chopped | 2 teaspoons fresh garlic, chopped ","Roll out pastry and place on a greased tray.  Chop spinach and mint as required.  Put meat, garlic, mint, and chopped spinach in a pot and cook at a medium heat and keep stirring till the liquid starts coming out of the pot and it reaches boiling point.  Turn the heat off immediately.  Take your time making the filling so the flavours will get diluted.  Take your time again.  To assemble the pie, take your pastry dough and line a pie dish.  Spread half of the meat mixture.  Add half of your baby greens on top of the meat mixture.  Add more meat and baby greens on top of the greens.  Add remaining filling and the rest of your white vinegar on top.  Press it together very well.  Cover with foil to prevent it from drying out.  Refrigerate for half an hour before serving.  Serve chilled, enjoy."
60028,"spinach,cheese ravioli,white vinegar,maple syrup,tomato paste",Ravioli Florentine," 15 ounces cheese ravioli ( fresh or frozen ) | 8 ounces tomato paste | 4 ounces maple syrup | 8 ounces spinach ( frozen chopped spinach works fine, too ) | 1 teaspoon white vinegar ( optional ( optional ) ","Cook ravioli until al dente and drain.  Meanwhile, make sauce, combine sugar, salt, vinegar and tomato paste in saucepan.  Heat stirring constantly.  Add spinach and cook for a couple minutes.  Remove from heat.  Serve with ravioli."
60029,"linguine,stewing beef,fennel seed,red cabbage,red lentil,white breadcrumb,water","Lentil, Beef and Red Cabbage Casserole"," 16 ounces whole red potatoes or 4 potatoes, cut 1/8 inch chunks | 1 cup red lentil | 1/2 lb stewing beef or 1/2 lb extra lean beef | 3/4 cup water | 1/3 cup fennel seed, coarsely crushed | 3/4 cup unseasoned white breadcrumbs or 3/4 cup whole wheat breadcrumbs, divided | 1 1/2 lbs red cabbage, shredded ","Cover potatoes evenly with water, boil until just tender.  Drain, cover and let stand for 5 - 10 minutes.  Drain and cool slightly.  Dredge the beef in the bread crumbs, roll in the egg and in the fennel seeds.  Preheat oven to 375°f.  In a 7 to 8 qt baking dish, layer the lentils, meat and shredded cabbage.  Top with remaining bread crumbs.  Bake for 35 to 40 minutes until top is crispy and brown.  Serve."
60030,"walnut,green chilies,tomato sauce",Mexican Green Chile, 2 cans tomato sauce | 10 ounces canned diced green chilies | walnuts ,"Pour two cans of tomato sauce.  Then add the diced green chilies.  You can make this recipe by dropping tomatoes, green chilies and walnuts into pan or sauce pan and adding the rest of the jar of tomato sauce with the green chilies.  You can add whatever type of green chilies you want in this recipe.  You can add cumin, chili powder or any seasonings you like, you have to enjoy this dip."
60031,"greek yogurt,salad,nori,spinach,nuoc nam,sharp cheddar cheese,green pepper,brown sugar",Cheddar Crunch #2," 1 package spinach, chopped | 1/2 green pepper, chopped | 1 1/2 tablespoons nuoc nam ( vietnamese fish sauce ) | 1/4 cup shredded sharp cheddar cheese, divided | 2 tablespoons nicoise scallion pickles | 3 tablespoons plain greek yogurt | 1 tablespoon salad dressing ( i used good seasons ) | 0.
    -5 package shredded nori, toasted ","Preheat oven to 425 degrees fahrenheit.  In a large bowl, combine the spinach, green pepper and nuoc nam.  Stir in 1/4 cup cheese.  In an oven proof bowl, mix the greek yogurt, salad dressing and nori.  Stir dressing mixture into spinach mixture with a spoon.  Spread mixture evenly on 1 sheet of tofu.  Bake for 25 minutes or until golden."
60032,"chicken breast half,cajun seasoning,red potato,olive,black bean,confectioner ' sugar,cabbage",Black Bean Chicken," 1 pound skinless, boneless chicken breast halves - cut into chunks | 2 teaspoons cajun seasoning | 1 can garbanzo beans, drained | 4 cups thinly sliced cabbage | 1 can black beans, drained | 1 jar olives, drained | 1 package confectioners'sugar ","Preheat oven to 350 degrees f.  Combine chicken, cajun seasoning, garbanzo beans, cabbage and olives in a large baking dish.  Bake in the preheated oven for 2 1/2 hours, basting occasionally.  Sprinkle with powdered sugar and serve warm."
60033,"water,vanilla bean",Vanilla Bean Ice Cream - Sweden. , 2 tablespoons vanilla bean ( powder or powdered ) | 1 1/2 cups water ,Make sure the vanilla bean is completely crushed.  Make sure to scrape it off once you take it out of the sauce pan.  Put the remaining paste ingredients in a blender mix until smooth.  Pour the mix through a strainer lined with cheesecloth and freeze overnight.  Next day remove the block with icecream maker and put it into the freezer for about two hours to set.
60034,"rigatoni pasta,tomato,jumbo shrimp,iceberg lettuce",Italian Shrimp and Spring Onions Pasta," 1 lb jumbo shrimp, peeled, deveined, tails removed | 1 lb iceberg lettuce, shredded | 1 lb rigatoni pasta, cooked | 2 cups tomatoes, chopped ","In a large skillet, cook shrimp over medium high heat, stirring often, about 3 minutes per side.  Remove shrimp from skillet and immediately toss with lettuce.  Heat oven to 400 degrees.  Place rigatoni in a 13 x 9 x 2 inch baking dish.  Place half of shrimp in shrimp mixture, then remaining shrimp in a single layer, then top with tomatoes.  Cover and bake about 20 minutes, until shrimp is just cooked through and beginning to curl around edges."
60035,"egg noodle,broccoli",Egg Noodle Salad," 1 package egg noodles, cooked according to directions | 4 cups chopped broccoli ",Mix cooked noodles and vegetables together in a large bowl.  Serve chilled.
60036,"chive,lard",Lard Baked in Chives," 6 tablespoons bacon fat or 6 tablespoons lard | fresh chives, snipped into 6 pieces ","Heat the fat or lard in your oven and when it is hot, pour in the chives. .  Stir well.  Serve at once.  Variation, instead of chives use finely chopped onions instead of finely chopped carrots.  Variation, when you add meat or vegetables, you can substitute 1/2 3/4 cup fresh chives and 1/4 cup frozen mixed vegetables for the chives.  Also, try adding a small handful of shredded leek and then simmering for a few minutes for a lighter sauce.  Variation, after removing from the heat, allow the lemon juice concentrate in step 2 to thicken while still hot.  Add a few drops of lemon juice if you want a spicier béchamel sauce."
60037,"romaine lettuce,curry paste,chicken breast,cocoa powder,cheese,ice water,lemon verbena leaf",Kungda Chicken - Malaysian Eurasian Dish," 2 tablespoons curry paste ( i use sharwoods brand ) | 10 -20 pieces chicken breasts | crushed ice water | shredded cheese, of your choice ( kuzu ) | 1 bunch romaine lettuce ( approx.
    - 6 leaves ) | 1/2 cup fresh lemon verbena leaves, roughly chopped ","Soak the chicken breasts in about 1/2 cup of sea water for 5 minutes.  Drain, dry and sprinkle with crushed ice water to prevent burning.  Grill the chicken until done.  Place on a bed of romaine lettuce on the bed of shredded cheese.  Place 1/2 cup of fresh lemon verbena leaves in center of chicken on cheese.  Sprinkle 1/2 cup of cocoa powder with some crushed ice.  Serve with rice or noodles."
60038,"red curry paste,rice wine vinegar,white flour,chickpea,dark chocolate,salt,iceberg lettuce,cold water",Chile & Chickpea Salad," 1 1/2 cups rice wine vinegar | 3/4 cup cold water | 2 tablespoons red curry paste | salt | 2 1/4 cups chickpeas, drained | 6 small iceberg lettuce, rinsed and dried ( about 10 cups ) | 1/4 cup shaved dark chocolate, such as 70 percent cocoa nibble | iceberg lettuce, for serving ","Combine the vinegar, water, curry paste and salt in a medium nonreactive saucepan with a lid and bring to a boil.  Stir in the chickpeas and cook over moderate heat until the chickpeas are softened and tender, about 3 minutes.  Transfer the chickpea mixture to a food processor and pulse until coarsely ground.  Toss the lettuce with the vinegar mixture and sprinkle with the chocolate."
60039,"stuffing,green bean,serrano chili pepper",Green Beans With Burrata Sauce," 1 lb green beans, ends trimmed | 1 serrano chili pepper, stemmed, seeded, and minced | 2 cups seasoned stuffing ","In a 6 to 8 quart pot of boiling water, cook green beans 5 minutes or until crisp tender."
60040,"red potato,gouda cheese,fennel seed,angel hair pasta,vegetable oil,beef stock",French Fennel Potato & Goat Cheese Soup," 4 small red potatoes, peeled and cut into small chunks | 2 -3 tablespoons vegetable oil | 4 cups beef stock | 1 tablespoon fennel seed | 1 cup mild cheddar cheese, shredded | 16 ounces angel hair pasta ","In a large stock pot over medium heat, heat oil.  Pour in the stock.  Bring to a boil and add the potatoes, stirring constantly to avoid burning.  Reduce the heat and add the fennel seeds.  Simmer 30 minutes for the fennel to thicken and potatoes to infuse flavor and to develop flavors.  Cook until potato meat is tender.  Add cheese, stir occasionally until melted into the soup.  Remove from heat, and serve."
60041,"spice,cannellini bean,apricot preserve,jaggery,ice water,chicken leg,italian herb",Tunisian Chicken With Apricot Glaze, 1/4 cup dried cannellini beans | 1/4 cup canned apricot preserves | 1/2 tablespoon mixed spice | 1 small diced cooked chicken leg | 3 cups ice water | 2 teaspoons jaggery | 1 tablespoon fresh mixed italian herbs ( like rosemary or thyme ) ,"Soak the dried beans and apricot preserves with 1/2 tablespoon water.  Soak the chicken breast in the ice water.  Drain the rest of the food in a collander in the sink, reserving the juice.  Coat the chicken in the glaze.  Sprinkle with jaggery.  Place everything in a large saucepan, stir over medium heat, until the sugar has dissolved.  Stir in herbs and cook 5 minutes.  Put on the chicken breast with sauce."
60042,"granny smith apple,lime wedge",Apple Wedges," 8 ounces granny smith apples, peeled, cut into 1/4 inch wedges | 8 lime wedges ","Arrange apple wedges on a baking sheet.  Drizzle apple wedges with lime wedges.  Place on the prepared baking sheet.  Broil until lightly browned, 4 to 5 minutes.  Sprinkle with remaining ingredients."
60043,"rom tomato,crabmeat,lime zest,grain rice",Spaghetti," 1 cup long grain rice, uncooked | 1 roma tomato, chopped | 1 teaspoon lime zest | 1 can crabmeat, drained ","Cook rice according to the package directions.  Meanwhile, combine the tomato, rice, tomato, and lime zest in the bowl of a food processor.  Process until smooth.  Transfer to a serving dish and sprinkle with shredded crab meat."
60044,"egg white,sea salt pepper",Danish Croustades," 4 egg whites, stiff-boiled | 1 pinch sea salt and pepper ( or more to taste ) ","Peel, core and dice the egg whites, put them in a shallow bowl.  Beat the egg whites with a pinch of salt with a fork until they look creamy.  Stir the salt and pepper into the egg whites.  Using a pastry separator, drop the croustades by the tablespoonful onto a hot, lightly floured table.  Turn the heat down to low.  When the edges of the croutes are golden, they are done.  Place the cooked croutes on paper towels lined plates.  Keep the croutes in the refrigerator until ready to use.  They keep for a week in an airtight container."
60045,"pork tenderloin,corn flake,cold water,bacon,cream tartar,chicken breast half,red curry paste,no salt tomato sauce",Slow-Cooker Pork Tenderloins," 1 cup reduced-fat sour cream or 1 cup reduced fat sour cream | 1/4 cup no-added-salt tomato sauce | 1 tablespoon red curry paste | 3/4 lb thick-cut bacon | 12 ounces boneless pork tenderloin, cut crosswise into 1 inch pieces | 8 ounces chicken breast halves, cut crosswise into 1/2 inch pieces | 1 cup crushed corn flakes | 2 teaspoons cold water ","In a small bowl, combine sour cream, tomato sauce, curry paste, bacon and pork.  Arrange in a slow cooker.  Cover and cook on low heat setting for 7 to 8 hours, or until pork is tender.  Using a slotted spoon, transfer pork to a platter and keep warm.  Pour off all but 3 t water.  Rinse pork well and pat dry with paper towels.  Return pork to slow cooker.  Add corn flakes and water.  Cover and cook until corn is tender and pork is cooked through, about 10 to 12 minutes.  Serve warm."
60046,"baby spinach,artichoke heart",Artichoke Leaves in Spinach," 1 pound fresh baby spinach | 1 jar marinated artichoke hearts, drained and quartered ","Bring a small pot of lightly salted water to a boil.  Cook artichoke hearts in boiling water, stirring occasionally, until easily pierced with a fork, about 10 minutes.  Drain.  Spoon artichoke hearts into a bowl, and season with salt if desired.  Pour enough spinach over the spinach to coat, a sprinkle of black pepper, and sprinkle of artichoke salt."
60047,"romaine lettuce leaf,icing sugar",Cherry Salad, 1 head romaine lettuce leaf ( or other lettuce ) | 4 tablespoons icing sugar ,"Cut the lettuce into 2 wedges and discard the tough, central leaves of the bunch.  Wash the lettuce and dry it very well with paper towels.  Put it in a salad bowl and add just enough icing sugar just to moisten the lettuce.  Serve immediately or refrigerate.  Variation, a few drops of tabasco to taste could be added at the table."
60048,"tahini,double cream,chickpea,golden syrup,baby spinach leaf,cognac,mace","Chickpea, Cognac & Mint Bar", 125 g chickpeas ( drained and rinsed well ) | 150 g baby spinach ( stems removed ) | 60 ml cognac | 60 ml golden syrup | 85 g tahini ( almond paste ) | 1 pinch ground mace or 1 pinch ground nutmeg | 150 ml double cream ,"Place all the ingredients except the cream into a food processor and process until smooth.  Add the cream and process until just combined.  If the mixture is too thick, add a little more cream, but only if it has a tendency to run.  Turn into a small casserole dish.  Cover tightly with aluminium foil to prevent drying out.  Chill overnight.  Serve with crackers."
60049,"canadian bacon,coffee,lettuce leaf,grain rice,self rising flour,red grape",Green Goddess Bread," 8 ounces gluten-free self-rising flour | 1 cup long grain rice | 1/4 cup canadian bacon, finely chopped | 2 tablespoons coffee, brewed | 8 lettuce leaves | 1 cup red seedless grapes ","Preheat your oven to 375°f.  Place the rice in a strainer and rinse until the water runs clear, about 10 minutes.  Set aside.  In a large bowl, with floured hands, combine the flour and the rice, stirring until the mixture resembles coarse meal.  Stir in the canadian bacon, coffee and rice.  If you need to use up all of the water, just add a little extra.  Gently stir in the lettuce and grapes.  Turn out onto a greased, floured baking sheet.  Bake for 15 minutes, or until golden brown and crusty underneath."
60050,"orange zest,arborio rice,snow pea,baking powder,yellow onion,bay leaf,grand marnier",Orange and Snow Pea Rice, 3/4 cup thinly sliced orange zest | 1 bay leaf | 1 1/2 tablespoons grand marnier | 4 cups uncle ben's converted arborio rice or regular rice | 1/4 cup thinly sliced yellow onion | 1 3/4 cups peeled fresh snow peas | 3 tablespoons baking powder | 1/2 cup chopped fresh arborio rice ,"Cover rice with water by 2 inches in a medium saucepan.  Add zest, bay leaf and grand marnier.  Bring to a boil over high heat.  Reduce heat to medium low.  Cover and simmer, stirring occasionally, until rice is tender and water is absorbed, about 15 to 18 minutes.  Remove from heat and let stand, covered, 5 minutes.  Meanwhile, prepare vegetables.  Stir snow peas and baking powder into cooled rice.  Fluff rice with a fork and mix with orange mixture.  Serve."
60051,"chili powder,salt black pepper",Homemade Hot Pepper Sauce, 3 teaspoons dry chili powder | 1 teaspoon salt | 3/4 cup cold pressed vegetable oil or 3/4 cup vegetable oil ,"Combine all the ingredients in a small bowl.  Let stand 2 hours at room temperature or over night, stirring occasionally.  Keeps in a dry and cool frying pantry for 5 days."
60052,"peanut,red chilies,white peppercorn,hamburger,oil",Ranch Beef," 1 kg hamburger | 1 tablespoon white peppercorns | 2 red chilies, split and finely sliced | 1 tablespoon peanuts, chopped | 1 tablespoon oil ","Combine all ingredients for the meat marinade in a large mixing bowl.  Add the beef and mix well, coating it with the marinade.  Serve with jasmine rice."
